Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
PER,29.0,99.003,SOFT,5.0,2.0,34.639,26.603,37.761,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,32.0,92.302,SOFT,8.0,2.0,31.567,24.423,36.312,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,33.0,90.192,SOFT,9.0,2.0,30.278,24.085,35.829,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,34.0,90.401,SOFT,10.0,2.0,30.302,23.832,36.267,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,35.0,89.421,SOFT,11.0,2.0,29.952,23.864,35.605,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,36.0,88.718,SOFT,12.0,2.0,29.605,23.765,35.348,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,37.0,89.125,SOFT,13.0,2.0,29.82,23.773,35.532,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,38.0,88.509,SOFT,14.0,2.0,29.413,23.746,35.35,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,39.0,88.353,SOFT,15.0,2.0,29.524,23.621,35.208,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,40.0,88.798,SOFT,16.0,2.0,29.641,23.708,35.449,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,41.0,88.286,SOFT,17.0,2.0,29.461,23.687,35.138,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,42.0,87.998,SOFT,18.0,2.0,29.317,23.557,35.124,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,43.0,88.169,SOFT,19.0,2.0,29.301,23.775,35.093,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,44.0,88.283,SOFT,20.0,2.0,29.46,23.645,35.178,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,45.0,88.439,SOFT,21.0,2.0,29.391,23.692,35.356,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,46.0,88.354,SOFT,22.0,2.0,29.356,23.643,35.355,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,47.0,88.282,SOFT,23.0,2.0,29.326,23.676,35.28,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,48.0,88.026,SOFT,24.0,2.0,29.483,23.565,34.978,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,49.0,88.006,SOFT,25.0,2.0,29.198,23.587,35.221,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,50.0,88.079,SOFT,26.0,2.0,29.354,23.617,35.108,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,51.0,87.633,SOFT,27.0,2.0,29.174,23.582,34.877,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,52.0,88.477,SOFT,28.0,2.0,29.543,23.808,35.126,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,53.0,88.381,SOFT,29.0,2.0,29.559,23.793,35.029,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,54.0,88.093,SOFT,30.0,2.0,29.534,23.639,34.92,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,55.0,88.284,SOFT,31.0,2.0,29.559,23.605,35.12,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,56.0,88.338,SOFT,32.0,2.0,29.596,23.811,34.931,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,57.0,87.85,SOFT,33.0,2.0,29.219,23.589,35.042,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
PER,58.0,89.22,SOFT,34.0,2.0,29.451,24.552,35.217,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,32.0,90.188,SOFT,6.0,2.0,30.557,23.946,35.685,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,33.0,89.043,SOFT,7.0,2.0,29.808,23.744,35.491,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,34.0,89.205,SOFT,8.0,2.0,30.033,23.848,35.324,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,35.0,88.627,SOFT,9.0,2.0,29.766,23.787,35.074,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,36.0,88.38,SOFT,10.0,2.0,29.606,23.729,35.045,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,37.0,88.451,SOFT,11.0,2.0,29.597,23.772,35.082,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,38.0,88.404,SOFT,12.0,2.0,29.579,23.713,35.112,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,39.0,88.162,SOFT,13.0,2.0,29.468,23.712,34.982,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,40.0,88.279,SOFT,14.0,2.0,29.49,23.869,34.92,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,41.0,88.08,SOFT,15.0,2.0,29.482,23.714,34.884,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,42.0,87.936,SOFT,16.0,2.0,29.308,23.611,35.017,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,43.0,88.02,SOFT,17.0,2.0,29.41,23.707,34.903,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,44.0,88.096,SOFT,18.0,2.0,29.534,23.63,34.932,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,45.0,88.174,SOFT,19.0,2.0,29.646,23.679,34.849,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,46.0,88.206,SOFT,20.0,2.0,29.415,23.674,35.117,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,47.0,87.994,SOFT,21.0,2.0,29.419,23.626,34.949,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,48.0,88.425,SOFT,22.0,2.0,29.575,23.862,34.988,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,49.0,87.92,SOFT,23.0,2.0,29.369,23.677,34.874,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,50.0,87.677,SOFT,24.0,2.0,29.308,23.676,34.693,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,51.0,87.351,SOFT,25.0,2.0,29.236,23.495,34.62,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,52.0,87.546,SOFT,26.0,2.0,29.292,23.583,34.671,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,53.0,87.425,SOFT,27.0,2.0,29.296,23.623,34.506,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,54.0,87.12,SOFT,28.0,2.0,29.196,23.406,34.518,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,55.0,87.154,SOFT,29.0,2.0,29.205,23.495,34.454,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,56.0,87.282,SOFT,30.0,2.0,29.072,23.566,34.644,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,57.0,86.978,SOFT,31.0,2.0,28.976,23.486,34.516,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
ALO,58.0,87.343,SOFT,32.0,2.0,29.255,23.521,34.567,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
LEC,22.0,93.591,SOFT,2.0,2.0,29.843,27.333,36.415,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
LEC,23.0,89.968,SOFT,3.0,2.0,30.302,24.112,35.554,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
LEC,24.0,89.323,SOFT,4.0,2.0,29.856,23.855,35.612,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,32.0,91.013,SOFT,8.0,2.0,31.29,23.892,35.831,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,33.0,89.359,SOFT,9.0,2.0,29.979,23.674,35.706,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,34.0,89.151,SOFT,10.0,2.0,29.936,23.723,35.492,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,35.0,88.632,SOFT,11.0,2.0,29.597,23.632,35.403,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,36.0,88.724,SOFT,12.0,2.0,29.459,23.783,35.482,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,37.0,88.434,SOFT,13.0,2.0,29.536,23.615,35.283,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,38.0,88.145,SOFT,14.0,2.0,29.497,23.564,35.084,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,39.0,88.078,SOFT,15.0,2.0,29.415,23.698,34.965,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,40.0,88.717,SOFT,16.0,2.0,29.618,23.932,35.167,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,41.0,87.821,SOFT,17.0,2.0,29.405,23.533,34.883,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,42.0,87.82,SOFT,18.0,2.0,29.359,23.467,34.994,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,43.0,87.971,SOFT,19.0,2.0,29.49,23.53,34.951,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,44.0,87.902,SOFT,20.0,2.0,29.266,23.709,34.927,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,45.0,88.22,SOFT,21.0,2.0,29.446,23.717,35.057,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,46.0,88.185,SOFT,22.0,2.0,29.275,23.525,35.385,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,47.0,87.997,SOFT,23.0,2.0,29.395,23.565,35.037,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,48.0,88.519,SOFT,24.0,2.0,29.436,23.813,35.27,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,49.0,87.974,SOFT,25.0,2.0,29.236,23.592,35.146,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,50.0,87.874,SOFT,26.0,2.0,29.204,23.668,35.002,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,51.0,87.532,SOFT,27.0,2.0,29.011,23.62,34.901,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,52.0,87.554,SOFT,28.0,2.0,29.071,23.53,34.953,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,53.0,87.535,SOFT,29.0,2.0,29.08,23.437,35.018,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,54.0,87.513,SOFT,30.0,2.0,29.281,23.479,34.753,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,55.0,87.259,SOFT,31.0,2.0,29.1,23.422,34.737,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,56.0,87.082,SOFT,32.0,2.0,29.129,23.404,34.549,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,57.0,87.081,SOFT,33.0,2.0,28.989,23.464,34.628,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HUL,58.0,89.521,SOFT,34.0,2.0,29.454,23.933,36.134,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,3.0,90.888,SOFT,2.0,1.0,30.264,24.315,36.309,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,4.0,91.182,SOFT,3.0,1.0,30.288,24.332,36.562,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,5.0,91.481,SOFT,4.0,1.0,30.272,24.435,36.774,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,6.0,92.111,SOFT,5.0,1.0,30.461,24.638,37.012,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,7.0,91.597,SOFT,6.0,1.0,30.327,24.567,36.703,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,8.0,91.16,SOFT,7.0,1.0,30.236,24.483,36.441,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,9.0,91.047,SOFT,8.0,1.0,30.167,24.34,36.54,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,10.0,91.053,SOFT,9.0,1.0,30.287,24.287,36.479,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,11.0,91.018,SOFT,10.0,1.0,30.355,24.26,36.403,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,12.0,91.248,SOFT,11.0,1.0,30.222,24.251,36.775,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,13.0,91.441,SOFT,12.0,1.0,30.295,24.38,36.766,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,14.0,91.228,SOFT,13.0,1.0,30.102,24.309,36.817,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,15.0,91.2,SOFT,14.0,1.0,30.299,24.373,36.528,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,16.0,90.939,SOFT,15.0,1.0,30.118,24.25,36.571,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,17.0,90.955,SOFT,16.0,1.0,30.065,24.196,36.694,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,18.0,91.041,SOFT,17.0,1.0,30.199,24.213,36.629,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,19.0,91.105,SOFT,18.0,1.0,30.232,24.318,36.555,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,20.0,90.885,SOFT,19.0,1.0,30.234,24.223,36.428,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
HAR,21.0,91.803,SOFT,20.0,1.0,30.467,24.465,36.871,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
RIC,32.0,88.909,SOFT,6.0,2.0,30.105,23.683,35.121,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
RIC,33.0,87.984,SOFT,7.0,2.0,29.511,23.52,34.953,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
RIC,34.0,87.859,SOFT,8.0,2.0,29.511,23.457,34.891,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
RIC,35.0,87.907,SOFT,9.0,2.0,29.651,23.43,34.826,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
RIC,36.0,87.412,SOFT,10.0,2.0,29.172,23.431,34.809,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
RIC,37.0,87.444,SOFT,11.0,2.0,29.304,23.395,34.745,24.1,36.3,30.9,True,2018,Australian Grand Prix,1
