Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
HAM,21.0,73.025,MEDIUM,2.0,2.0,18.59,37.836,16.599,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,22.0,73.874,MEDIUM,3.0,2.0,18.675,38.649,16.55,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,23.0,73.393,MEDIUM,4.0,2.0,18.786,38.291,16.316,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,24.0,74.539,MEDIUM,5.0,2.0,18.737,38.933,16.869,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,25.0,74.569,MEDIUM,6.0,2.0,19.011,38.677,16.881,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,26.0,74.944,MEDIUM,7.0,2.0,18.96,39.151,16.833,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,27.0,74.425,MEDIUM,8.0,2.0,18.931,38.716,16.778,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,28.0,72.93,MEDIUM,9.0,2.0,18.69,37.384,16.856,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,29.0,73.923,MEDIUM,10.0,2.0,18.943,38.275,16.705,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,30.0,73.49,MEDIUM,11.0,2.0,18.801,37.943,16.746,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,31.0,73.484,MEDIUM,12.0,2.0,18.724,37.998,16.762,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,32.0,73.707,MEDIUM,13.0,2.0,18.855,38.043,16.809,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,33.0,73.524,MEDIUM,14.0,2.0,18.973,38.096,16.455,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,34.0,73.645,MEDIUM,15.0,2.0,18.882,38.073,16.69,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,35.0,73.75,MEDIUM,16.0,2.0,19.107,38.136,16.507,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,36.0,73.12,MEDIUM,17.0,2.0,18.681,37.818,16.621,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,37.0,73.419,MEDIUM,18.0,2.0,18.79,38.028,16.601,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,38.0,73.018,MEDIUM,19.0,2.0,18.605,37.745,16.668,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,39.0,73.593,MEDIUM,20.0,2.0,18.627,38.076,16.89,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,40.0,74.166,MEDIUM,21.0,2.0,18.696,38.718,16.752,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,41.0,73.774,MEDIUM,22.0,2.0,18.798,38.252,16.724,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,42.0,73.774,MEDIUM,23.0,2.0,18.841,38.262,16.671,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,43.0,73.451,MEDIUM,24.0,2.0,18.668,38.089,16.694,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,44.0,73.292,MEDIUM,25.0,2.0,18.947,37.724,16.621,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,45.0,73.076,MEDIUM,26.0,2.0,18.777,37.68,16.619,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,46.0,72.925,MEDIUM,27.0,2.0,18.661,37.582,16.682,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,47.0,72.967,MEDIUM,28.0,2.0,18.692,37.579,16.696,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,48.0,72.808,MEDIUM,29.0,2.0,18.632,37.58,16.596,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,49.0,73.018,MEDIUM,30.0,2.0,18.657,37.744,16.617,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,50.0,72.92,MEDIUM,31.0,2.0,18.669,37.68,16.571,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,51.0,72.319,MEDIUM,32.0,2.0,18.557,37.151,16.611,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,52.0,72.385,MEDIUM,33.0,2.0,18.636,37.198,16.551,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,53.0,72.466,MEDIUM,34.0,2.0,18.574,37.353,16.539,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,54.0,72.204,MEDIUM,35.0,2.0,18.558,37.135,16.511,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,55.0,72.062,MEDIUM,36.0,2.0,18.463,37.035,16.564,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,56.0,72.483,MEDIUM,37.0,2.0,18.577,37.399,16.507,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,57.0,72.2,MEDIUM,38.0,2.0,18.595,37.047,16.558,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,58.0,72.038,MEDIUM,39.0,2.0,18.561,36.972,16.505,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,59.0,72.092,MEDIUM,40.0,2.0,18.495,37.047,16.55,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,60.0,71.91,MEDIUM,41.0,2.0,18.474,36.84,16.596,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,61.0,71.917,MEDIUM,42.0,2.0,18.461,36.91,16.546,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,62.0,72.018,MEDIUM,43.0,2.0,18.38,37.052,16.586,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,63.0,72.136,MEDIUM,44.0,2.0,18.459,37.14,16.537,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,64.0,72.181,MEDIUM,45.0,2.0,18.465,37.178,16.538,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,65.0,72.215,MEDIUM,46.0,2.0,18.403,37.471,16.341,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,66.0,72.414,MEDIUM,47.0,2.0,18.738,37.17,16.506,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,67.0,72.371,MEDIUM,48.0,2.0,18.536,37.464,16.371,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,68.0,72.912,MEDIUM,49.0,2.0,19.056,37.188,16.668,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,69.0,72.104,MEDIUM,50.0,2.0,18.423,37.099,16.582,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,70.0,71.795,MEDIUM,51.0,2.0,18.388,36.713,16.694,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
HAM,71.0,72.031,MEDIUM,52.0,2.0,18.416,37.031,16.584,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,37.0,72.678,SOFT,2.0,2.0,18.761,37.245,16.672,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,38.0,72.143,SOFT,3.0,2.0,18.701,36.901,16.541,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,39.0,72.656,SOFT,4.0,2.0,18.554,37.514,16.588,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,40.0,72.348,SOFT,5.0,2.0,18.638,37.152,16.558,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,41.0,73.65,SOFT,6.0,2.0,19.089,37.662,16.899,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,42.0,73.34,SOFT,7.0,2.0,18.961,37.567,16.812,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,43.0,73.116,SOFT,8.0,2.0,18.917,37.515,16.684,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,44.0,81.817,SOFT,9.0,2.0,27.141,37.823,16.853,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,45.0,72.758,SOFT,10.0,2.0,18.957,37.048,16.753,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,46.0,72.701,SOFT,11.0,2.0,18.907,37.126,16.668,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,47.0,72.726,SOFT,12.0,2.0,18.939,37.07,16.717,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,48.0,72.741,SOFT,13.0,2.0,18.829,37.229,16.683,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,49.0,72.607,SOFT,14.0,2.0,18.747,37.162,16.698,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,50.0,72.728,SOFT,15.0,2.0,18.911,37.128,16.689,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,51.0,72.166,SOFT,16.0,2.0,18.731,36.895,16.54,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,52.0,72.715,SOFT,17.0,2.0,18.815,37.304,16.596,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,53.0,72.073,SOFT,18.0,2.0,18.803,36.71,16.56,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,54.0,72.118,SOFT,19.0,2.0,18.802,36.749,16.567,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,55.0,72.048,SOFT,20.0,2.0,18.759,36.695,16.594,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,56.0,71.901,SOFT,21.0,2.0,18.608,36.683,16.61,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,57.0,72.306,SOFT,22.0,2.0,18.823,36.951,16.532,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,58.0,71.969,SOFT,23.0,2.0,18.725,36.701,16.543,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,59.0,71.809,SOFT,24.0,2.0,18.626,36.581,16.602,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,60.0,71.992,SOFT,25.0,2.0,18.686,36.67,16.636,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,61.0,71.578,SOFT,26.0,2.0,18.537,36.472,16.569,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,62.0,71.752,SOFT,27.0,2.0,18.619,36.576,16.557,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
VER,63.0,72.102,SOFT,28.0,2.0,18.612,36.952,16.538,23.8,40.1,75.4,False,2018,Brazilian Grand Prix,20
