Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
RIC,49.0,97.019,SOFT,2.0,2.0,26.159,28.864,41.996,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
RIC,50.0,96.833,SOFT,3.0,2.0,25.966,28.825,42.042,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
RIC,51.0,96.728,SOFT,4.0,2.0,25.954,28.836,41.938,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
RIC,52.0,96.772,SOFT,5.0,2.0,26.014,28.737,42.021,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
RIC,53.0,96.587,SOFT,6.0,2.0,25.892,28.62,42.075,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
RIC,54.0,96.43,SOFT,7.0,2.0,25.858,28.577,41.995,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
RIC,55.0,95.785,SOFT,8.0,2.0,25.649,28.43,41.706,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
RIC,56.0,96.741,SOFT,9.0,2.0,25.789,28.504,42.448,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,2.0,99.357,SOFT,4.0,1.0,26.323,29.919,43.115,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,3.0,99.074,SOFT,5.0,1.0,26.438,29.795,42.841,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,4.0,98.81,SOFT,6.0,1.0,26.41,29.83,42.57,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,5.0,98.981,SOFT,7.0,1.0,26.426,29.833,42.722,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,6.0,98.566,SOFT,8.0,1.0,26.395,29.664,42.507,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,7.0,98.717,SOFT,9.0,1.0,26.486,29.646,42.585,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,8.0,98.881,SOFT,10.0,1.0,26.442,29.759,42.68,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,9.0,98.683,SOFT,11.0,1.0,26.399,29.673,42.611,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,10.0,98.801,SOFT,12.0,1.0,26.376,29.856,42.569,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,11.0,99.081,SOFT,13.0,1.0,26.486,29.801,42.794,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,12.0,98.958,SOFT,14.0,1.0,26.42,29.751,42.787,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,13.0,98.958,SOFT,15.0,1.0,26.568,29.622,42.768,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,14.0,99.244,SOFT,16.0,1.0,26.484,29.753,43.007,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,15.0,99.248,SOFT,17.0,1.0,26.453,29.944,42.851,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,16.0,98.979,SOFT,18.0,1.0,26.554,29.756,42.669,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,17.0,99.555,SOFT,19.0,1.0,26.543,30.219,42.793,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,18.0,99.32,SOFT,20.0,1.0,26.528,29.956,42.836,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,19.0,103.746,SOFT,21.0,1.0,26.62,29.625,47.501,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,20.0,114.023,SOFT,22.0,1.0,43.677,28.597,41.749,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,21.0,97.011,SOFT,23.0,1.0,25.849,29.067,42.095,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,22.0,97.55,SOFT,24.0,1.0,26.126,29.316,42.108,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,23.0,97.571,SOFT,25.0,1.0,26.08,29.471,42.02,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,24.0,97.673,SOFT,26.0,1.0,26.043,29.483,42.147,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,25.0,97.575,SOFT,27.0,1.0,26.153,29.17,42.252,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,26.0,98.577,SOFT,28.0,1.0,26.061,29.675,42.841,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,27.0,98.448,SOFT,29.0,1.0,26.395,29.759,42.294,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,28.0,97.763,SOFT,30.0,1.0,26.14,29.312,42.311,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,29.0,97.654,SOFT,31.0,1.0,26.128,29.202,42.324,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,30.0,98.698,SOFT,32.0,1.0,26.15,29.283,43.265,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,31.0,100.989,SOFT,33.0,1.0,26.247,29.753,44.989,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,36.0,97.716,SOFT,38.0,1.0,26.209,29.155,42.352,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,37.0,97.675,SOFT,39.0,1.0,26.177,29.106,42.392,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,38.0,97.841,SOFT,40.0,1.0,26.151,29.347,42.343,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,39.0,97.775,SOFT,41.0,1.0,26.182,29.324,42.269,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,40.0,97.788,SOFT,42.0,1.0,26.292,29.221,42.275,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,41.0,97.561,SOFT,43.0,1.0,26.12,29.294,42.147,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,42.0,97.533,SOFT,44.0,1.0,26.105,29.256,42.172,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,43.0,97.664,SOFT,45.0,1.0,26.069,29.043,42.552,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,44.0,97.138,SOFT,46.0,1.0,25.999,29.023,42.116,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,45.0,98.909,SOFT,47.0,1.0,26.037,30.356,42.516,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,46.0,97.683,SOFT,48.0,1.0,26.019,29.373,42.291,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,47.0,97.168,SOFT,49.0,1.0,25.923,29.071,42.174,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,49.0,97.278,MEDIUM,2.0,2.0,26.046,29.114,42.118,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,50.0,96.987,MEDIUM,3.0,2.0,26.012,29.058,41.917,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,51.0,97.228,MEDIUM,4.0,2.0,26.023,29.128,42.077,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,52.0,97.341,MEDIUM,5.0,2.0,26.084,29.022,42.235,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
BOT,53.0,97.291,MEDIUM,6.0,2.0,25.99,28.952,42.349,19.4,37.0,24.1,True,2018,Chinese Grand Prix,3
