Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
PER,6.0,100.842,SOFT,5.0,1.0,25.773,30.367,44.702,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,7.0,101.589,SOFT,6.0,1.0,26.155,30.632,44.802,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,8.0,99.494,SOFT,7.0,1.0,25.318,29.951,44.225,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,9.0,99.365,SOFT,8.0,1.0,25.067,29.947,44.351,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,10.0,99.923,SOFT,9.0,1.0,25.188,30.373,44.362,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,11.0,100.055,SOFT,10.0,1.0,25.414,30.144,44.497,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,12.0,99.991,SOFT,11.0,1.0,25.372,30.17,44.449,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,13.0,100.431,SOFT,12.0,1.0,25.274,30.66,44.497,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,14.0,100.586,SOFT,13.0,1.0,25.354,30.641,44.591,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,15.0,101.463,SOFT,14.0,1.0,26.897,30.3,44.266,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,16.0,99.039,SOFT,15.0,1.0,25.109,30.109,43.821,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,17.0,98.848,SOFT,16.0,1.0,24.994,29.97,43.884,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,18.0,98.761,SOFT,17.0,1.0,25.051,30.072,43.638,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,19.0,98.612,SOFT,18.0,1.0,25.008,29.987,43.617,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,20.0,98.896,SOFT,19.0,1.0,25.012,29.996,43.888,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,21.0,98.696,SOFT,20.0,1.0,24.942,30.053,43.701,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,22.0,98.73,SOFT,21.0,1.0,25.076,29.866,43.788,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,23.0,98.514,SOFT,22.0,1.0,24.937,29.929,43.648,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,24.0,98.855,SOFT,23.0,1.0,25.117,30.038,43.7,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,25.0,98.319,SOFT,24.0,1.0,24.933,29.886,43.5,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,26.0,98.481,SOFT,25.0,1.0,24.962,30.017,43.502,24.5,42.0,49.0,True,2018,French Grand Prix,8
PER,27.0,98.48,SOFT,26.0,1.0,24.837,30.12,43.523,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,6.0,108.549,SOFT,5.0,1.0,32.548,30.404,45.597,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,7.0,99.578,SOFT,6.0,1.0,25.594,30.162,43.822,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,8.0,99.608,SOFT,7.0,1.0,25.279,30.241,44.088,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,9.0,100.848,SOFT,8.0,1.0,25.524,30.138,45.186,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,10.0,101.464,SOFT,9.0,1.0,25.94,30.383,45.141,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,11.0,100.702,SOFT,10.0,1.0,25.928,30.425,44.349,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,12.0,100.156,SOFT,11.0,1.0,25.482,30.488,44.186,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,13.0,99.909,SOFT,12.0,1.0,25.333,30.047,44.529,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,14.0,100.042,SOFT,13.0,1.0,25.663,30.039,44.34,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,15.0,99.822,SOFT,14.0,1.0,25.386,30.31,44.126,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,16.0,99.689,SOFT,15.0,1.0,25.317,30.147,44.225,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,17.0,99.547,SOFT,16.0,1.0,25.359,30.06,44.128,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,18.0,98.984,SOFT,17.0,1.0,25.322,29.924,43.738,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,19.0,99.206,SOFT,18.0,1.0,25.195,30.331,43.68,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,20.0,98.799,SOFT,19.0,1.0,24.996,30.185,43.618,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,21.0,99.003,SOFT,20.0,1.0,24.952,30.47,43.581,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,22.0,98.877,SOFT,21.0,1.0,25.056,30.241,43.58,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,23.0,98.518,SOFT,22.0,1.0,24.866,30.086,43.566,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,24.0,98.431,SOFT,23.0,1.0,24.823,30.104,43.504,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,25.0,98.352,SOFT,24.0,1.0,24.834,30.019,43.499,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,26.0,98.439,SOFT,25.0,1.0,24.911,30.009,43.519,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,27.0,98.949,SOFT,26.0,1.0,25.096,30.055,43.798,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,28.0,98.35,SOFT,27.0,1.0,24.907,29.614,43.829,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,29.0,99.338,SOFT,28.0,1.0,25.553,29.818,43.967,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,30.0,98.608,SOFT,29.0,1.0,24.767,29.906,43.935,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,31.0,98.749,SOFT,30.0,1.0,24.839,29.784,44.126,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,32.0,98.624,SOFT,31.0,1.0,24.882,29.895,43.847,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,33.0,98.202,SOFT,32.0,1.0,24.798,29.708,43.696,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,34.0,98.278,SOFT,33.0,1.0,24.661,29.744,43.873,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,35.0,98.916,SOFT,34.0,1.0,24.717,30.312,43.887,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,36.0,98.518,SOFT,35.0,1.0,24.565,30.048,43.905,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,37.0,98.506,SOFT,36.0,1.0,24.742,29.962,43.802,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,38.0,98.953,SOFT,37.0,1.0,24.758,30.448,43.747,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,39.0,98.802,SOFT,38.0,1.0,24.829,30.314,43.659,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,40.0,100.172,SOFT,39.0,1.0,25.735,30.441,43.996,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,41.0,98.834,SOFT,40.0,1.0,24.843,30.333,43.658,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,42.0,100.101,SOFT,41.0,1.0,24.839,31.039,44.223,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,43.0,99.677,SOFT,42.0,1.0,25.071,30.817,43.789,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,44.0,99.177,SOFT,43.0,1.0,24.991,30.342,43.844,24.5,42.0,49.0,True,2018,French Grand Prix,8
ALO,45.0,100.723,SOFT,44.0,1.0,25.821,30.727,44.175,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,6.0,101.43,SOFT,5.0,1.0,26.096,30.375,44.959,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,7.0,102.095,SOFT,6.0,1.0,26.555,30.217,45.323,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,8.0,102.764,SOFT,7.0,1.0,26.294,31.042,45.428,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,9.0,101.763,SOFT,8.0,1.0,26.017,30.417,45.329,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,10.0,101.167,SOFT,9.0,1.0,25.819,30.405,44.943,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,11.0,100.777,SOFT,10.0,1.0,25.759,30.422,44.596,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,12.0,100.265,SOFT,11.0,1.0,25.519,30.239,44.507,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,13.0,100.498,SOFT,12.0,1.0,25.734,30.33,44.434,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,14.0,100.021,SOFT,13.0,1.0,25.621,30.066,44.334,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,15.0,99.884,SOFT,14.0,1.0,25.328,30.24,44.316,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,16.0,99.566,SOFT,15.0,1.0,25.248,30.305,44.013,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,17.0,99.452,SOFT,16.0,1.0,25.262,30.229,43.961,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,18.0,100.617,SOFT,17.0,1.0,25.297,30.235,45.085,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,19.0,99.983,SOFT,18.0,1.0,25.526,30.406,44.051,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,20.0,99.371,SOFT,19.0,1.0,25.426,30.156,43.789,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,21.0,99.48,SOFT,20.0,1.0,25.214,30.368,43.898,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,22.0,99.045,SOFT,21.0,1.0,25.185,30.152,43.708,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,23.0,99.001,SOFT,22.0,1.0,25.069,30.11,43.822,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,24.0,98.913,SOFT,23.0,1.0,25.04,30.214,43.659,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,25.0,98.787,SOFT,24.0,1.0,24.946,30.15,43.691,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,26.0,98.894,SOFT,25.0,1.0,25.194,30.163,43.537,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,27.0,98.579,SOFT,26.0,1.0,24.873,30.115,43.591,24.5,42.0,49.0,True,2018,French Grand Prix,8
STR,28.0,98.62,SOFT,27.0,1.0,24.922,30.024,43.674,24.5,42.0,49.0,True,2018,French Grand Prix,8
