Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
GAS,3.0,83.42,SOFT,2.0,1.0,18.782,39.116,25.522,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,4.0,81.012,SOFT,3.0,1.0,17.823,37.829,25.36,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,5.0,81.399,SOFT,4.0,1.0,17.713,37.852,25.834,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,6.0,81.024,SOFT,5.0,1.0,17.812,37.66,25.552,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,7.0,81.166,SOFT,6.0,1.0,17.817,37.746,25.603,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,8.0,81.169,SOFT,7.0,1.0,17.678,37.89,25.601,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,9.0,81.188,SOFT,8.0,1.0,17.732,37.703,25.753,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,10.0,80.932,SOFT,9.0,1.0,17.723,37.858,25.351,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,11.0,81.001,SOFT,10.0,1.0,17.732,38.003,25.266,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,12.0,80.466,SOFT,11.0,1.0,17.603,37.709,25.154,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,13.0,80.781,SOFT,12.0,1.0,17.735,37.685,25.361,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,14.0,80.889,SOFT,13.0,1.0,17.762,37.773,25.354,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,15.0,81.531,SOFT,14.0,1.0,17.609,38.409,25.513,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,16.0,81.516,SOFT,15.0,1.0,17.71,38.026,25.78,26.4,40.7,54.8,True,2018,German Grand Prix,11
GAS,17.0,80.614,SOFT,16.0,1.0,17.536,38.046,25.032,26.4,40.7,54.8,True,2018,German Grand Prix,11
