Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
GAS,5.0,113.821,SOFT,5.0,1.0,31.625,51.972,30.224,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,6.0,112.475,SOFT,6.0,1.0,31.545,51.077,29.853,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,7.0,112.508,SOFT,7.0,1.0,31.583,50.96,29.965,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,8.0,112.155,SOFT,8.0,1.0,31.262,51.038,29.855,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,9.0,111.718,SOFT,9.0,1.0,31.374,50.493,29.851,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,10.0,112.403,SOFT,10.0,1.0,31.356,51.011,30.036,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,11.0,110.616,SOFT,11.0,1.0,31.122,49.555,29.939,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,12.0,110.792,SOFT,12.0,1.0,31.977,48.877,29.938,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,13.0,114.888,SOFT,13.0,1.0,31.956,48.808,34.124,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,15.0,110.007,MEDIUM,2.0,2.0,31.525,49.146,29.336,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,16.0,111.464,MEDIUM,3.0,2.0,30.907,50.914,29.643,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,17.0,111.501,MEDIUM,4.0,2.0,31.227,50.552,29.722,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,18.0,111.53,MEDIUM,5.0,2.0,31.577,50.305,29.648,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,19.0,111.051,MEDIUM,6.0,2.0,31.747,49.58,29.724,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,20.0,109.769,MEDIUM,7.0,2.0,31.81,48.298,29.661,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,21.0,109.7,MEDIUM,8.0,2.0,31.774,48.222,29.704,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,22.0,109.836,MEDIUM,9.0,2.0,31.766,48.214,29.856,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,23.0,109.887,MEDIUM,10.0,2.0,31.75,48.459,29.678,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,24.0,111.401,MEDIUM,11.0,2.0,31.653,49.97,29.778,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,25.0,110.239,MEDIUM,12.0,2.0,31.735,48.994,29.51,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,26.0,110.116,MEDIUM,13.0,2.0,31.491,49.01,29.615,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,27.0,110.569,MEDIUM,14.0,2.0,31.156,49.746,29.667,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
GAS,28.0,110.697,MEDIUM,15.0,2.0,31.09,49.979,29.628,17.4,28.1,57.0,False,2019,Belgian Grand Prix,13
