Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
GAS,2.0,92.305,MEDIUM,7.0,1.0,29.133,37.679,25.493,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,3.0,91.847,MEDIUM,8.0,1.0,28.845,37.545,25.457,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,4.0,91.656,MEDIUM,9.0,1.0,28.799,37.681,25.176,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,5.0,91.844,MEDIUM,10.0,1.0,29.073,37.583,25.188,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,6.0,91.709,MEDIUM,11.0,1.0,28.908,37.583,25.218,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,7.0,91.625,MEDIUM,12.0,1.0,28.949,37.449,25.227,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,8.0,91.54,MEDIUM,13.0,1.0,28.933,37.483,25.124,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,9.0,91.41,MEDIUM,14.0,1.0,28.82,37.421,25.169,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,10.0,91.593,MEDIUM,15.0,1.0,28.746,37.537,25.31,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,11.0,92.182,MEDIUM,16.0,1.0,28.984,38.014,25.184,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,12.0,91.409,MEDIUM,17.0,1.0,29.017,37.64,24.752,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,14.0,92.588,HARD,2.0,2.0,29.171,37.854,25.563,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,15.0,92.166,HARD,3.0,2.0,29.098,37.608,25.46,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,16.0,91.948,HARD,4.0,2.0,29.055,37.661,25.232,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,17.0,92.368,HARD,5.0,2.0,28.981,37.744,25.643,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,18.0,91.74,HARD,6.0,2.0,29.0,37.319,25.421,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,19.0,91.605,HARD,7.0,2.0,28.942,37.39,25.273,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,24.0,93.192,HARD,12.0,2.0,29.408,38.121,25.663,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,25.0,91.381,HARD,13.0,2.0,29.041,37.165,25.175,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,26.0,90.844,HARD,14.0,2.0,28.741,37.028,25.075,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,27.0,91.765,HARD,15.0,2.0,28.74,36.782,26.243,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,28.0,90.482,HARD,16.0,2.0,28.56,36.926,24.996,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,29.0,90.617,HARD,17.0,2.0,28.711,36.776,25.13,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,30.0,90.188,HARD,18.0,2.0,28.632,36.624,24.932,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,31.0,90.201,HARD,19.0,2.0,28.714,36.625,24.862,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,32.0,90.024,HARD,20.0,2.0,28.651,36.626,24.747,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,33.0,89.941,HARD,21.0,2.0,28.67,36.513,24.758,18.9,30.3,62.1,False,2019,British Grand Prix,10
GAS,34.0,89.837,HARD,22.0,2.0,28.703,36.46,24.674,18.9,30.3,62.1,False,2019,British Grand Prix,10
