Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
GAS,2.0,97.074,SOFT,5.0,1.0,35.211,43.239,18.624,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,3.0,96.681,SOFT,6.0,1.0,34.801,43.199,18.681,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,4.0,96.413,SOFT,7.0,1.0,34.769,43.045,18.599,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,5.0,96.32,SOFT,8.0,1.0,34.697,43.019,18.604,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,6.0,95.913,SOFT,9.0,1.0,34.497,42.873,18.543,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,7.0,96.111,SOFT,10.0,1.0,34.459,43.107,18.545,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,8.0,96.275,SOFT,11.0,1.0,34.612,43.139,18.524,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,9.0,96.406,SOFT,12.0,1.0,34.746,43.111,18.549,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,10.0,96.225,SOFT,13.0,1.0,34.565,43.093,18.567,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,11.0,96.513,SOFT,14.0,1.0,34.7,43.099,18.714,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,12.0,96.373,SOFT,15.0,1.0,34.582,43.218,18.573,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,13.0,96.532,SOFT,16.0,1.0,34.7,43.094,18.738,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,14.0,96.394,SOFT,17.0,1.0,34.633,43.196,18.565,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,15.0,96.753,SOFT,18.0,1.0,34.754,43.215,18.784,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,16.0,96.807,SOFT,19.0,1.0,34.862,43.228,18.717,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,17.0,96.873,SOFT,20.0,1.0,35.023,43.217,18.633,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,18.0,99.231,SOFT,21.0,1.0,34.932,43.324,20.975,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,20.0,95.554,MEDIUM,2.0,2.0,34.598,42.485,18.471,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,21.0,96.178,MEDIUM,3.0,2.0,34.851,42.8,18.527,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,22.0,96.372,MEDIUM,4.0,2.0,34.969,42.814,18.589,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,23.0,96.501,MEDIUM,5.0,2.0,34.991,43.01,18.5,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,24.0,95.979,MEDIUM,6.0,2.0,34.07,43.315,18.594,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,25.0,95.448,MEDIUM,7.0,2.0,34.466,42.624,18.358,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,26.0,95.386,MEDIUM,8.0,2.0,34.489,42.59,18.307,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,27.0,95.659,MEDIUM,9.0,2.0,34.576,42.676,18.407,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,28.0,95.464,MEDIUM,10.0,2.0,34.416,42.668,18.38,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,29.0,95.452,MEDIUM,11.0,2.0,34.364,42.716,18.372,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,30.0,95.549,MEDIUM,12.0,2.0,34.425,42.659,18.465,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,31.0,96.125,MEDIUM,13.0,2.0,34.499,42.868,18.758,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,32.0,95.47,MEDIUM,14.0,2.0,34.378,42.639,18.453,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,33.0,95.637,MEDIUM,15.0,2.0,34.47,42.764,18.403,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,34.0,96.889,MEDIUM,16.0,2.0,34.685,43.593,18.611,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,35.0,95.739,MEDIUM,17.0,2.0,34.633,42.711,18.395,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,36.0,95.7,MEDIUM,18.0,2.0,34.573,42.639,18.488,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,37.0,95.486,MEDIUM,19.0,2.0,34.473,42.645,18.368,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,38.0,95.498,MEDIUM,20.0,2.0,34.501,42.589,18.408,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
GAS,39.0,95.395,MEDIUM,21.0,2.0,34.425,42.563,18.407,21.6,32.2,57.5,False,2019,Japanese Grand Prix,17
