Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
HAM,3.0,86.482,MEDIUM,6.0,1.0,32.916,32.198,21.368,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,4.0,81.275,MEDIUM,7.0,1.0,28.3,31.769,21.206,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,5.0,81.982,MEDIUM,8.0,1.0,28.804,31.763,21.415,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,6.0,81.641,MEDIUM,9.0,1.0,28.771,31.733,21.137,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,7.0,81.83,MEDIUM,10.0,1.0,28.686,31.811,21.333,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,8.0,81.815,MEDIUM,11.0,1.0,28.75,31.81,21.255,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,9.0,81.854,MEDIUM,12.0,1.0,28.68,31.781,21.393,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,10.0,81.626,MEDIUM,13.0,1.0,28.424,31.859,21.343,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,11.0,82.127,MEDIUM,14.0,1.0,28.984,31.954,21.189,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,12.0,81.616,MEDIUM,15.0,1.0,28.727,31.751,21.138,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,13.0,81.096,MEDIUM,16.0,1.0,28.503,31.538,21.055,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,14.0,81.426,MEDIUM,17.0,1.0,28.609,31.548,21.269,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,15.0,80.66,MEDIUM,18.0,1.0,28.245,31.228,21.187,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,16.0,81.185,MEDIUM,19.0,1.0,28.629,31.127,21.429,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,17.0,81.264,MEDIUM,20.0,1.0,28.678,31.342,21.244,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,18.0,81.012,MEDIUM,21.0,1.0,28.604,31.282,21.126,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,19.0,81.313,MEDIUM,22.0,1.0,28.589,31.405,21.319,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,20.0,81.253,MEDIUM,23.0,1.0,28.62,31.445,21.188,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,21.0,81.008,MEDIUM,24.0,1.0,28.634,31.195,21.179,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,22.0,81.111,MEDIUM,25.0,1.0,28.605,31.291,21.215,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,23.0,84.334,MEDIUM,26.0,1.0,28.392,31.415,24.527,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,25.0,79.926,HARD,2.0,2.0,28.401,30.765,20.76,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,26.0,80.993,HARD,3.0,2.0,28.643,31.333,21.017,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,27.0,80.975,HARD,4.0,2.0,28.761,31.339,20.875,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,28.0,80.584,HARD,5.0,2.0,28.657,31.028,20.899,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,29.0,81.33,HARD,6.0,2.0,28.589,31.596,21.145,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,30.0,81.611,HARD,7.0,2.0,28.671,31.906,21.034,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,31.0,81.185,HARD,8.0,2.0,28.747,31.415,21.023,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,32.0,81.064,HARD,9.0,2.0,28.668,31.441,20.955,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,33.0,81.252,HARD,10.0,2.0,28.653,31.482,21.117,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,34.0,81.279,HARD,11.0,2.0,28.652,31.581,21.046,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,35.0,81.274,HARD,12.0,2.0,28.766,31.442,21.066,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,36.0,81.352,HARD,13.0,2.0,28.829,31.437,21.086,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,37.0,81.463,HARD,14.0,2.0,28.843,31.574,21.046,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,38.0,80.968,HARD,15.0,2.0,28.598,31.346,21.024,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,39.0,81.21,HARD,16.0,2.0,28.604,31.527,21.079,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,40.0,81.123,HARD,17.0,2.0,28.756,31.382,20.985,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,41.0,80.992,HARD,18.0,2.0,28.658,31.373,20.961,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,42.0,81.015,HARD,19.0,2.0,28.588,31.333,21.094,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,43.0,81.255,HARD,20.0,2.0,28.652,31.572,21.031,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,44.0,80.892,HARD,21.0,2.0,28.589,31.326,20.977,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,45.0,80.785,HARD,22.0,2.0,28.546,31.32,20.919,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,46.0,80.822,HARD,23.0,2.0,28.488,31.317,21.017,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,47.0,80.872,HARD,24.0,2.0,28.654,31.368,20.85,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,48.0,80.332,HARD,25.0,2.0,28.586,30.957,20.789,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
HAM,49.0,80.239,HARD,26.0,2.0,28.482,31.027,20.73,23.2,41.6,46.3,False,2019,Mexican Grand Prix,18
