Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
HAM,4.0,101.051,MEDIUM,7.0,1.0,36.238,35.112,29.701,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,5.0,100.125,MEDIUM,8.0,1.0,35.94,34.842,29.343,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,6.0,99.968,MEDIUM,9.0,1.0,36.039,34.705,29.224,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,7.0,99.581,MEDIUM,10.0,1.0,35.836,34.404,29.341,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,8.0,99.382,MEDIUM,11.0,1.0,35.67,34.345,29.367,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,9.0,99.191,MEDIUM,12.0,1.0,35.686,34.414,29.091,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,10.0,100.325,MEDIUM,13.0,1.0,35.603,35.443,29.279,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,11.0,99.335,MEDIUM,14.0,1.0,35.696,34.5,29.139,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,12.0,99.246,MEDIUM,15.0,1.0,35.748,34.426,29.072,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,13.0,98.63,MEDIUM,16.0,1.0,35.491,34.227,28.912,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,14.0,98.533,MEDIUM,17.0,1.0,35.514,34.153,28.866,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,15.0,98.319,MEDIUM,18.0,1.0,35.383,34.073,28.863,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,16.0,98.501,MEDIUM,19.0,1.0,35.369,34.199,28.933,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,17.0,98.992,MEDIUM,20.0,1.0,35.719,34.289,28.984,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
HAM,18.0,98.384,MEDIUM,21.0,1.0,35.472,34.071,28.841,22.0,34.3,67.4,True,2019,Russian Grand Prix,16
