Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
GAS,2.0,104.253,SOFT,5.0,1.0,28.497,41.506,34.25,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,3.0,103.246,SOFT,6.0,1.0,27.999,40.864,34.383,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,4.0,102.794,SOFT,7.0,1.0,27.885,40.889,34.02,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,5.0,102.481,SOFT,8.0,1.0,27.877,40.634,33.97,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,6.0,102.402,SOFT,9.0,1.0,27.714,40.762,33.926,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,7.0,103.118,SOFT,10.0,1.0,27.858,41.123,34.137,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,8.0,103.406,SOFT,11.0,1.0,27.896,41.29,34.22,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,9.0,103.19,SOFT,12.0,1.0,27.939,41.189,34.062,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,10.0,103.39,SOFT,13.0,1.0,28.044,41.271,34.075,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,11.0,103.658,SOFT,14.0,1.0,27.909,41.571,34.178,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,12.0,103.363,SOFT,15.0,1.0,27.929,41.244,34.19,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,13.0,103.042,SOFT,16.0,1.0,27.98,41.08,33.982,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,14.0,102.958,SOFT,17.0,1.0,28.003,40.859,34.096,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,15.0,103.024,SOFT,18.0,1.0,27.896,40.998,34.13,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,16.0,103.061,SOFT,19.0,1.0,27.941,40.999,34.121,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,17.0,103.213,SOFT,20.0,1.0,27.948,41.013,34.252,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,18.0,103.566,SOFT,21.0,1.0,27.98,41.226,34.36,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,19.0,103.938,SOFT,22.0,1.0,28.163,41.224,34.551,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,21.0,101.569,HARD,2.0,2.0,27.534,40.366,33.669,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,22.0,101.466,HARD,3.0,2.0,27.397,40.483,33.586,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,23.0,101.44,HARD,4.0,2.0,27.415,40.452,33.573,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,24.0,101.722,HARD,5.0,2.0,27.483,40.618,33.621,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,25.0,101.128,HARD,6.0,2.0,27.395,40.313,33.42,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,26.0,101.589,HARD,7.0,2.0,27.475,40.399,33.715,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,27.0,101.487,HARD,8.0,2.0,27.445,40.513,33.529,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,28.0,102.536,HARD,9.0,2.0,27.687,40.779,34.07,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,29.0,101.134,HARD,10.0,2.0,27.387,40.373,33.374,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,30.0,101.25,HARD,11.0,2.0,27.283,40.519,33.448,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,31.0,100.85,HARD,12.0,2.0,27.25,40.312,33.288,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,32.0,101.728,HARD,13.0,2.0,27.481,40.501,33.746,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,33.0,101.108,HARD,14.0,2.0,27.525,40.186,33.397,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,34.0,100.987,HARD,15.0,2.0,27.412,40.207,33.368,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,35.0,101.419,HARD,16.0,2.0,27.444,40.45,33.525,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,36.0,102.313,HARD,17.0,2.0,27.592,40.975,33.746,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,37.0,101.117,HARD,18.0,2.0,27.401,40.286,33.43,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,38.0,101.084,HARD,19.0,2.0,27.415,40.335,33.334,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,39.0,101.003,HARD,20.0,2.0,27.413,40.186,33.404,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,40.0,101.149,HARD,21.0,2.0,27.369,40.257,33.523,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,41.0,101.238,HARD,22.0,2.0,27.412,40.233,33.593,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,42.0,101.424,HARD,23.0,2.0,27.517,40.343,33.564,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,43.0,102.374,HARD,24.0,2.0,27.45,40.556,34.368,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,44.0,101.532,HARD,25.0,2.0,27.439,40.481,33.612,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,45.0,102.002,HARD,26.0,2.0,27.437,40.884,33.681,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,46.0,101.598,HARD,27.0,2.0,27.597,40.537,33.464,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,47.0,101.275,HARD,28.0,2.0,27.514,40.267,33.494,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,48.0,101.681,HARD,29.0,2.0,27.429,40.524,33.728,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,49.0,102.854,HARD,30.0,2.0,27.712,41.164,33.978,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,50.0,103.29,HARD,31.0,2.0,27.562,41.446,34.282,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,51.0,104.887,HARD,32.0,2.0,29.373,40.972,34.542,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,52.0,105.374,HARD,33.0,2.0,28.811,41.114,35.449,21.5,29.1,29.2,False,2019,United States Grand Prix,19
GAS,53.0,109.16,HARD,34.0,2.0,30.222,41.551,37.387,21.5,29.1,29.2,False,2019,United States Grand Prix,19
PER,2.0,104.62,MEDIUM,2.0,1.0,28.428,41.576,34.616,21.5,29.1,29.2,False,2019,United States Grand Prix,19
PER,3.0,104.333,MEDIUM,3.0,1.0,28.232,41.247,34.854,21.5,29.1,29.2,False,2019,United States Grand Prix,19
PER,4.0,103.702,MEDIUM,4.0,1.0,28.006,40.92,34.776,21.5,29.1,29.2,False,2019,United States Grand Prix,19
PER,5.0,103.972,MEDIUM,5.0,1.0,27.832,41.03,35.11,21.5,29.1,29.2,False,2019,United States Grand Prix,19
PER,6.0,103.907,MEDIUM,6.0,1.0,28.166,40.969,34.772,21.5,29.1,29.2,False,2019,United States Grand Prix,19
