Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,2.0,91.968,HARD,5.0,1.0,29.202,37.476,25.29,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,3.0,91.972,HARD,6.0,1.0,29.072,37.527,25.373,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,4.0,92.125,HARD,7.0,1.0,29.03,37.655,25.44,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,5.0,92.251,HARD,8.0,1.0,29.169,37.646,25.436,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,6.0,92.045,HARD,9.0,1.0,29.02,37.444,25.581,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,7.0,92.159,HARD,10.0,1.0,29.235,37.506,25.418,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,8.0,92.17,HARD,11.0,1.0,29.176,37.592,25.402,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,9.0,92.449,HARD,12.0,1.0,29.262,37.667,25.52,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,10.0,92.36,HARD,13.0,1.0,29.196,37.624,25.54,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,11.0,92.56,HARD,14.0,1.0,29.221,37.793,25.546,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,12.0,92.942,HARD,15.0,1.0,29.158,38.291,25.493,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,13.0,92.588,HARD,16.0,1.0,29.176,37.91,25.502,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,14.0,92.234,HARD,17.0,1.0,29.027,37.984,25.223,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,15.0,92.096,HARD,18.0,1.0,29.34,37.578,25.178,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,16.0,91.913,HARD,19.0,1.0,29.275,37.442,25.196,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,17.0,91.899,HARD,20.0,1.0,29.172,37.541,25.186,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,18.0,91.759,HARD,21.0,1.0,29.026,37.538,25.195,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,19.0,91.694,HARD,22.0,1.0,29.076,37.414,25.204,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,20.0,91.577,HARD,23.0,1.0,29.005,37.278,25.294,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,21.0,91.531,HARD,24.0,1.0,29.025,37.273,25.233,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,22.0,91.464,HARD,25.0,1.0,28.927,37.32,25.217,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,23.0,91.312,HARD,26.0,1.0,28.834,37.217,25.261,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,24.0,91.334,HARD,27.0,1.0,28.884,37.297,25.153,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,25.0,91.082,HARD,28.0,1.0,28.927,37.153,25.002,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,26.0,90.444,HARD,29.0,1.0,28.932,36.93,24.582,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,28.0,91.598,MEDIUM,2.0,2.0,28.9,37.617,25.081,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,29.0,91.294,MEDIUM,3.0,2.0,28.849,37.46,24.985,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,30.0,90.545,MEDIUM,4.0,2.0,28.659,36.808,25.078,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,31.0,90.361,MEDIUM,5.0,2.0,28.639,36.865,24.857,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,32.0,89.666,MEDIUM,6.0,2.0,28.48,36.743,24.443,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,34.0,90.892,HARD,2.0,3.0,28.702,37.032,25.158,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,35.0,90.809,HARD,3.0,3.0,28.808,36.952,25.049,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,36.0,90.985,HARD,4.0,3.0,28.671,37.149,25.165,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,37.0,90.791,HARD,5.0,3.0,28.866,36.9,25.025,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,38.0,90.471,HARD,6.0,3.0,28.729,36.823,24.919,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,39.0,90.682,HARD,7.0,3.0,28.744,36.953,24.985,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,40.0,90.174,HARD,8.0,3.0,28.792,36.573,24.809,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,41.0,90.153,HARD,9.0,3.0,28.602,36.422,25.129,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,42.0,90.102,HARD,10.0,3.0,28.635,36.542,24.925,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,43.0,90.16,HARD,11.0,3.0,28.742,36.54,24.878,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,44.0,89.54,HARD,12.0,3.0,28.494,36.368,24.678,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,45.0,89.822,HARD,13.0,3.0,28.392,36.667,24.763,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,46.0,89.465,HARD,14.0,3.0,28.396,36.497,24.572,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,47.0,89.578,HARD,15.0,3.0,28.691,36.161,24.726,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,48.0,89.54,HARD,16.0,3.0,28.55,36.256,24.734,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,49.0,89.523,HARD,17.0,3.0,28.516,36.263,24.744,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
VER,50.0,89.629,HARD,18.0,3.0,28.628,36.302,24.699,25.3,43.2,58.6,False,2020,70th Anniversary Grand Prix,5
