Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
GAS,2.0,97.911,MEDIUM,2.0,1.0,32.788,40.608,24.515,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,3.0,95.49,MEDIUM,3.0,1.0,31.382,39.811,24.297,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,4.0,94.495,MEDIUM,4.0,1.0,31.024,39.478,23.993,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,5.0,94.167,MEDIUM,5.0,1.0,30.961,39.289,23.917,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,6.0,94.393,MEDIUM,6.0,1.0,31.007,39.372,24.014,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,7.0,94.333,MEDIUM,7.0,1.0,31.068,39.47,23.795,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,8.0,94.717,MEDIUM,8.0,1.0,31.191,39.574,23.952,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,9.0,94.719,MEDIUM,9.0,1.0,31.03,39.697,23.992,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,10.0,94.817,MEDIUM,10.0,1.0,31.365,39.486,23.966,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,11.0,95.552,MEDIUM,11.0,1.0,31.838,39.525,24.189,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,12.0,93.697,MEDIUM,12.0,1.0,30.533,39.078,24.086,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,13.0,94.16,MEDIUM,13.0,1.0,30.506,39.342,24.312,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,14.0,93.232,MEDIUM,14.0,1.0,30.142,38.983,24.107,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,15.0,93.644,MEDIUM,15.0,1.0,30.51,39.073,24.061,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,17.0,95.016,MEDIUM,17.0,1.0,31.111,39.744,24.161,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,18.0,94.324,MEDIUM,18.0,1.0,30.451,39.151,24.722,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,19.0,94.129,MEDIUM,19.0,1.0,30.765,39.32,24.044,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,20.0,93.506,MEDIUM,20.0,1.0,30.464,39.043,23.999,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,21.0,93.411,MEDIUM,21.0,1.0,30.341,39.148,23.922,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,22.0,94.052,MEDIUM,22.0,1.0,30.813,39.197,24.042,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,23.0,93.637,MEDIUM,23.0,1.0,30.319,39.228,24.09,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,24.0,93.251,MEDIUM,24.0,1.0,30.385,38.883,23.983,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,25.0,93.341,MEDIUM,25.0,1.0,30.227,39.05,24.064,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,26.0,93.483,MEDIUM,26.0,1.0,30.307,39.032,24.144,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,27.0,93.649,MEDIUM,27.0,1.0,30.279,39.104,24.266,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,28.0,95.435,MEDIUM,28.0,1.0,31.636,39.472,24.327,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
GAS,29.0,95.416,MEDIUM,29.0,1.0,30.949,39.51,24.957,9.5,16.4,59.4,True,2020,Eifel Grand Prix,11
