Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
GAS,2.0,87.139,SOFT,5.0,1.0,28.216,30.088,28.835,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,3.0,86.536,SOFT,6.0,1.0,28.147,29.608,28.781,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,4.0,86.255,SOFT,7.0,1.0,28.078,29.545,28.632,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,5.0,86.196,SOFT,8.0,1.0,27.948,29.54,28.708,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,6.0,86.364,SOFT,9.0,1.0,27.969,29.59,28.805,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,7.0,86.16,SOFT,10.0,1.0,27.907,29.308,28.945,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,8.0,86.485,SOFT,11.0,1.0,27.975,29.691,28.819,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,9.0,86.229,SOFT,12.0,1.0,27.946,29.712,28.571,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,10.0,86.157,SOFT,13.0,1.0,27.87,29.61,28.677,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,11.0,86.2,SOFT,14.0,1.0,28.03,29.656,28.514,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,12.0,86.047,SOFT,15.0,1.0,28.009,29.438,28.6,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,13.0,86.432,SOFT,16.0,1.0,28.156,29.602,28.674,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,14.0,86.308,SOFT,17.0,1.0,28.109,29.53,28.669,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,15.0,86.35,SOFT,18.0,1.0,28.067,29.696,28.587,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,16.0,86.266,SOFT,19.0,1.0,28.17,29.545,28.551,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,17.0,86.281,SOFT,20.0,1.0,28.202,29.511,28.568,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,18.0,86.519,SOFT,21.0,1.0,28.16,29.63,28.729,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
GAS,19.0,90.727,SOFT,22.0,1.0,28.216,29.626,32.885,28.1,41.2,40.1,False,2020,Italian Grand Prix,8
