Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
GAS,7.0,59.592,SOFT,10.0,1.0,20.322,21.789,17.481,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,8.0,59.323,SOFT,11.0,1.0,20.469,21.494,17.36,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,9.0,58.997,SOFT,12.0,1.0,20.462,21.279,17.256,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,10.0,58.558,SOFT,13.0,1.0,19.999,21.245,17.314,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,11.0,58.884,SOFT,14.0,1.0,20.094,21.435,17.355,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,12.0,58.749,SOFT,15.0,1.0,20.109,21.255,17.385,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,13.0,58.815,SOFT,16.0,1.0,20.082,21.433,17.3,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,14.0,58.95,SOFT,17.0,1.0,20.148,21.466,17.336,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,15.0,59.014,SOFT,18.0,1.0,20.189,21.463,17.362,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,16.0,59.078,SOFT,19.0,1.0,20.244,21.525,17.309,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,17.0,58.741,SOFT,20.0,1.0,20.27,21.188,17.283,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,18.0,59.13,SOFT,21.0,1.0,20.321,21.466,17.343,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,19.0,58.877,SOFT,22.0,1.0,20.251,21.281,17.345,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,20.0,58.767,SOFT,23.0,1.0,20.288,21.226,17.253,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,21.0,58.999,SOFT,24.0,1.0,20.342,21.261,17.396,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,22.0,59.025,SOFT,25.0,1.0,20.259,21.414,17.352,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,23.0,58.972,SOFT,26.0,1.0,20.421,21.247,17.304,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,24.0,59.101,SOFT,27.0,1.0,20.44,21.371,17.29,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,25.0,59.153,SOFT,28.0,1.0,20.429,21.416,17.308,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,26.0,59.161,SOFT,29.0,1.0,20.465,21.31,17.386,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,27.0,59.016,SOFT,30.0,1.0,20.361,21.254,17.401,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,28.0,61.367,SOFT,31.0,1.0,20.27,21.236,19.861,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,30.0,57.87,MEDIUM,8.0,2.0,20.055,20.706,17.109,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,31.0,57.954,MEDIUM,9.0,2.0,20.118,20.694,17.142,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,32.0,58.156,MEDIUM,10.0,2.0,20.189,20.779,17.188,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,33.0,58.05,MEDIUM,11.0,2.0,20.194,20.706,17.15,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,34.0,58.357,MEDIUM,12.0,2.0,20.405,20.806,17.146,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
GAS,35.0,58.096,MEDIUM,13.0,2.0,20.299,20.67,17.127,20.9,23.5,58.2,False,2020,Sakhir Grand Prix,16
