Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
HAM,4.0,68.631,SOFT,4.0,1.0,17.314,30.323,20.994,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,5.0,68.968,SOFT,5.0,1.0,17.367,30.667,20.934,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,6.0,68.897,SOFT,6.0,1.0,17.428,30.488,20.981,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,7.0,68.61,SOFT,7.0,1.0,17.317,30.404,20.889,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,8.0,68.581,SOFT,8.0,1.0,17.335,30.394,20.852,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,9.0,68.845,SOFT,9.0,1.0,17.244,30.775,20.826,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,10.0,68.774,SOFT,10.0,1.0,17.409,30.387,20.978,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,11.0,69.012,SOFT,11.0,1.0,17.388,30.757,20.867,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,12.0,68.653,SOFT,12.0,1.0,17.332,30.408,20.913,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,13.0,68.484,SOFT,13.0,1.0,17.339,30.328,20.817,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,14.0,68.85,SOFT,14.0,1.0,17.265,30.591,20.994,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,15.0,68.561,SOFT,15.0,1.0,17.349,30.47,20.742,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,16.0,68.552,SOFT,16.0,1.0,17.339,30.422,20.791,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,17.0,68.813,SOFT,17.0,1.0,17.314,30.821,20.678,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,18.0,68.491,SOFT,18.0,1.0,17.304,30.421,20.766,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,19.0,68.385,SOFT,19.0,1.0,17.361,30.395,20.629,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,20.0,68.183,SOFT,20.0,1.0,17.243,30.339,20.601,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,21.0,68.419,SOFT,21.0,1.0,17.234,30.472,20.713,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,22.0,68.319,SOFT,22.0,1.0,17.268,30.406,20.645,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,23.0,68.782,SOFT,23.0,1.0,17.171,31.003,20.608,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,24.0,68.539,SOFT,24.0,1.0,17.302,30.473,20.764,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,25.0,68.404,SOFT,25.0,1.0,17.298,30.382,20.724,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
HAM,26.0,68.482,SOFT,26.0,1.0,17.285,30.524,20.673,20.8,39.9,34.0,True,2020,Styrian Grand Prix,2
