Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
PER,10.0,87.526,SOFT,5.0,3.0,34.036,23.708,29.782,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,11.0,83.762,SOFT,6.0,3.0,30.802,23.293,29.667,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,12.0,84.23,SOFT,7.0,3.0,30.967,23.336,29.927,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,13.0,83.875,SOFT,8.0,3.0,30.952,23.059,29.864,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,14.0,83.793,SOFT,9.0,3.0,30.662,23.197,29.934,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,15.0,85.014,SOFT,10.0,3.0,31.712,23.501,29.801,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,16.0,84.279,SOFT,11.0,3.0,30.957,23.353,29.969,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,17.0,84.202,SOFT,12.0,3.0,30.818,23.264,30.12,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,18.0,85.413,SOFT,13.0,3.0,31.746,23.491,30.176,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,19.0,84.282,SOFT,14.0,3.0,30.788,23.49,30.004,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,20.0,84.837,SOFT,15.0,3.0,30.966,23.845,30.026,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,21.0,84.373,SOFT,16.0,3.0,30.846,23.367,30.16,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,22.0,84.546,SOFT,17.0,3.0,31.14,23.348,30.058,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,23.0,85.151,SOFT,18.0,3.0,31.328,23.563,30.26,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,24.0,84.699,SOFT,19.0,3.0,31.332,23.291,30.076,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,25.0,85.114,SOFT,20.0,3.0,31.394,23.445,30.275,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,26.0,85.305,SOFT,21.0,3.0,31.649,23.45,30.206,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,27.0,85.559,SOFT,22.0,3.0,31.679,23.624,30.256,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,30.0,82.111,MEDIUM,2.0,4.0,29.611,22.81,29.69,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,31.0,83.15,MEDIUM,3.0,4.0,30.566,23.056,29.528,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,32.0,83.284,MEDIUM,4.0,4.0,30.529,23.073,29.682,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,33.0,83.271,MEDIUM,5.0,4.0,30.795,22.937,29.539,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,34.0,82.922,MEDIUM,6.0,4.0,30.456,22.838,29.628,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,35.0,82.814,MEDIUM,7.0,4.0,30.415,22.841,29.558,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,36.0,83.623,MEDIUM,8.0,4.0,30.772,23.315,29.536,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,37.0,82.988,MEDIUM,9.0,4.0,30.343,23.043,29.602,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,38.0,82.873,MEDIUM,10.0,4.0,30.35,22.909,29.614,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,39.0,82.657,MEDIUM,11.0,4.0,30.348,22.82,29.489,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,40.0,83.133,MEDIUM,12.0,4.0,30.29,22.816,30.027,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,41.0,82.67,MEDIUM,13.0,4.0,30.468,22.792,29.41,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,42.0,82.618,MEDIUM,14.0,4.0,30.352,22.775,29.491,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,47.0,85.772,SOFT,5.0,6.0,33.646,23.398,28.728,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,48.0,81.827,SOFT,6.0,6.0,30.48,22.445,28.902,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,49.0,81.352,SOFT,7.0,6.0,29.83,22.418,29.104,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,50.0,81.083,SOFT,8.0,6.0,29.606,22.173,29.304,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,51.0,81.492,SOFT,9.0,6.0,29.812,22.491,29.189,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
PER,52.0,81.456,SOFT,10.0,6.0,29.778,22.445,29.233,30.2,43.1,39.9,False,2020,Tuscan Grand Prix,9
