Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,4.0,69.799,MEDIUM,7.0,1.0,17.802,30.663,21.334,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,5.0,69.735,MEDIUM,8.0,1.0,17.619,30.77,21.346,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,6.0,69.451,MEDIUM,9.0,1.0,17.586,30.629,21.236,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,7.0,69.282,MEDIUM,10.0,1.0,17.447,30.707,21.128,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,8.0,69.327,MEDIUM,11.0,1.0,17.465,30.746,21.116,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,9.0,69.218,MEDIUM,12.0,1.0,17.536,30.618,21.064,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,10.0,69.091,MEDIUM,13.0,1.0,17.485,30.604,21.002,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,11.0,69.132,MEDIUM,14.0,1.0,17.589,30.525,21.018,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,12.0,69.145,MEDIUM,15.0,1.0,17.522,30.618,21.005,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,13.0,69.126,MEDIUM,16.0,1.0,17.514,30.618,20.994,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,14.0,69.1,MEDIUM,17.0,1.0,17.466,30.676,20.958,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,15.0,69.074,MEDIUM,18.0,1.0,17.48,30.56,21.034,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,16.0,69.07,MEDIUM,19.0,1.0,17.401,30.697,20.972,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,17.0,69.071,MEDIUM,20.0,1.0,17.447,30.592,21.032,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,18.0,69.206,MEDIUM,21.0,1.0,17.457,30.638,21.111,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,19.0,69.274,MEDIUM,22.0,1.0,17.45,30.696,21.128,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
VER,20.0,69.355,MEDIUM,23.0,1.0,17.473,30.775,21.107,21.0,33.2,49.7,True,2021,Austrian Grand Prix,9
