Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
HAM,4.0,104.932,MEDIUM,7.0,1.0,32.339,41.826,30.767,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,5.0,105.139,MEDIUM,8.0,1.0,39.813,41.41,23.916,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,6.0,96.169,MEDIUM,9.0,1.0,30.755,41.6,23.814,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,7.0,96.123,MEDIUM,10.0,1.0,30.775,41.68,23.668,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,8.0,96.075,MEDIUM,11.0,1.0,30.708,41.702,23.665,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,9.0,96.148,MEDIUM,12.0,1.0,30.802,41.648,23.698,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,10.0,96.082,MEDIUM,13.0,1.0,30.699,41.663,23.72,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,11.0,96.143,MEDIUM,14.0,1.0,30.677,41.585,23.881,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,12.0,96.507,MEDIUM,15.0,1.0,30.763,41.935,23.809,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,13.0,98.924,MEDIUM,16.0,1.0,30.77,41.776,26.378,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,15.0,94.057,HARD,2.0,2.0,29.944,40.709,23.404,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,16.0,95.104,HARD,3.0,2.0,30.504,41.102,23.498,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,17.0,95.099,HARD,4.0,2.0,30.389,41.101,23.609,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,18.0,95.266,HARD,5.0,2.0,30.555,41.271,23.44,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,19.0,95.346,HARD,6.0,2.0,30.557,41.238,23.551,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,20.0,95.324,HARD,7.0,2.0,30.75,41.051,23.523,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,21.0,95.837,HARD,8.0,2.0,30.908,41.469,23.46,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,22.0,95.539,HARD,9.0,2.0,30.716,41.255,23.568,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,23.0,95.219,HARD,10.0,2.0,30.573,41.001,23.645,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,24.0,95.087,HARD,11.0,2.0,30.501,41.09,23.496,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,25.0,95.359,HARD,12.0,2.0,30.716,40.983,23.66,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,26.0,95.622,HARD,13.0,2.0,30.682,41.157,23.783,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,27.0,95.94,HARD,14.0,2.0,30.766,41.422,23.752,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,28.0,97.835,HARD,15.0,2.0,30.543,41.164,26.128,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,30.0,94.365,HARD,2.0,3.0,30.213,40.895,23.257,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,31.0,95.305,HARD,3.0,3.0,30.947,41.186,23.172,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,32.0,94.729,HARD,4.0,3.0,30.24,41.061,23.428,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,33.0,95.041,HARD,5.0,3.0,30.362,41.264,23.415,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,34.0,94.665,HARD,6.0,3.0,30.259,41.084,23.322,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,35.0,94.745,HARD,7.0,3.0,30.578,40.845,23.322,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,36.0,94.754,HARD,8.0,3.0,30.504,40.864,23.386,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,37.0,94.74,HARD,9.0,3.0,30.339,41.183,23.218,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,38.0,94.72,HARD,10.0,3.0,30.347,40.986,23.387,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,39.0,94.816,HARD,11.0,3.0,30.468,41.03,23.318,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,40.0,94.89,HARD,12.0,3.0,30.62,40.931,23.339,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,41.0,94.334,HARD,13.0,3.0,30.276,40.771,23.287,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,42.0,94.199,HARD,14.0,3.0,30.387,40.615,23.197,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,43.0,94.163,HARD,15.0,3.0,30.222,40.647,23.294,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,44.0,94.015,HARD,16.0,3.0,29.976,40.631,23.408,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,45.0,94.583,HARD,17.0,3.0,30.534,40.615,23.434,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,46.0,94.492,HARD,18.0,3.0,30.238,40.85,23.404,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,47.0,94.591,HARD,19.0,3.0,30.448,40.884,23.259,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,48.0,94.167,HARD,20.0,3.0,30.336,40.567,23.264,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,49.0,94.136,HARD,21.0,3.0,30.273,40.641,23.222,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,50.0,94.354,HARD,22.0,3.0,30.265,40.749,23.34,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,51.0,94.579,HARD,23.0,3.0,30.36,41.01,23.209,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,52.0,94.939,HARD,24.0,3.0,30.625,40.96,23.354,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,53.0,96.155,HARD,25.0,3.0,30.81,41.885,23.46,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,54.0,94.814,HARD,26.0,3.0,30.734,40.788,23.292,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,55.0,94.706,HARD,27.0,3.0,30.605,40.96,23.141,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
HAM,56.0,94.918,HARD,28.0,3.0,30.431,40.946,23.541,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
VER,4.0,104.343,MEDIUM,7.0,1.0,32.129,41.273,30.941,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
VER,5.0,104.629,MEDIUM,8.0,1.0,39.328,41.46,23.841,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
VER,6.0,95.982,MEDIUM,9.0,1.0,30.819,41.205,23.958,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
VER,7.0,95.902,MEDIUM,10.0,1.0,30.846,41.378,23.678,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
VER,8.0,96.032,MEDIUM,11.0,1.0,31.016,41.266,23.75,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
VER,9.0,96.012,MEDIUM,12.0,1.0,30.988,41.271,23.753,20.5,27.6,54.5,False,2021,Bahrain Grand Prix,1
