Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
GAS,7.0,89.412,SOFT,11.0,3.0,26.972,34.705,27.735,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,8.0,85.171,SOFT,12.0,3.0,25.237,32.828,27.106,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,9.0,84.424,SOFT,13.0,3.0,24.771,32.581,27.072,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,10.0,84.39,SOFT,14.0,3.0,24.668,32.679,27.043,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,11.0,83.988,SOFT,15.0,3.0,24.43,32.507,27.051,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,12.0,83.881,SOFT,16.0,3.0,24.611,32.382,26.888,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,13.0,83.721,SOFT,17.0,3.0,24.48,32.299,26.942,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,14.0,83.956,SOFT,18.0,3.0,24.364,32.481,27.111,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,15.0,83.946,SOFT,19.0,3.0,24.548,32.423,26.975,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,16.0,83.975,SOFT,20.0,3.0,24.571,32.384,27.02,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,17.0,83.826,SOFT,21.0,3.0,24.427,32.505,26.894,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,18.0,83.593,SOFT,22.0,3.0,24.369,32.33,26.894,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,19.0,83.861,SOFT,23.0,3.0,24.507,32.376,26.978,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,20.0,83.809,SOFT,24.0,3.0,24.455,32.301,27.053,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,21.0,83.715,SOFT,25.0,3.0,24.378,32.305,27.032,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,22.0,83.727,SOFT,26.0,3.0,24.366,32.362,26.999,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,23.0,83.316,SOFT,27.0,3.0,24.266,32.073,26.977,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,24.0,87.557,SOFT,28.0,3.0,24.482,32.302,30.773,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,26.0,82.878,MEDIUM,2.0,4.0,24.236,31.927,26.715,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,27.0,83.01,MEDIUM,3.0,4.0,24.296,32.057,26.657,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,28.0,82.999,MEDIUM,4.0,4.0,24.283,31.924,26.792,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,29.0,83.327,MEDIUM,5.0,4.0,24.382,32.093,26.852,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,30.0,83.003,MEDIUM,6.0,4.0,24.234,32.006,26.763,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,31.0,83.109,MEDIUM,7.0,4.0,24.227,32.165,26.717,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,32.0,83.165,MEDIUM,8.0,4.0,24.396,32.048,26.721,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,33.0,83.204,MEDIUM,9.0,4.0,24.358,32.044,26.802,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,34.0,84.121,MEDIUM,10.0,4.0,25.248,32.127,26.746,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,35.0,83.208,MEDIUM,11.0,4.0,24.13,32.319,26.759,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,36.0,83.044,MEDIUM,12.0,4.0,24.253,32.003,26.788,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,37.0,82.795,MEDIUM,13.0,4.0,24.115,32.001,26.679,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,38.0,82.941,MEDIUM,14.0,4.0,24.23,31.981,26.73,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,39.0,82.961,MEDIUM,15.0,4.0,24.112,31.977,26.872,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,40.0,82.855,MEDIUM,16.0,4.0,24.03,31.949,26.876,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,41.0,83.055,MEDIUM,17.0,4.0,24.153,31.989,26.913,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,42.0,83.145,MEDIUM,18.0,4.0,24.422,31.909,26.814,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,43.0,82.866,MEDIUM,19.0,4.0,24.126,31.923,26.817,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,44.0,83.357,MEDIUM,20.0,4.0,24.22,32.17,26.967,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,45.0,82.415,MEDIUM,21.0,4.0,23.906,31.843,26.666,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,46.0,82.549,MEDIUM,22.0,4.0,24.139,31.791,26.619,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,47.0,82.794,MEDIUM,23.0,4.0,24.301,31.791,26.702,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,48.0,86.129,MEDIUM,24.0,4.0,26.095,33.254,26.78,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,49.0,83.526,MEDIUM,25.0,4.0,24.525,32.096,26.905,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,50.0,82.605,MEDIUM,26.0,4.0,23.991,31.837,26.777,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,51.0,83.007,MEDIUM,27.0,4.0,24.243,32.052,26.712,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,52.0,82.506,MEDIUM,28.0,4.0,24.064,31.822,26.62,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,53.0,82.553,MEDIUM,29.0,4.0,23.895,31.893,26.765,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,54.0,82.567,MEDIUM,30.0,4.0,24.038,31.978,26.551,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,55.0,82.372,MEDIUM,31.0,4.0,24.081,31.799,26.492,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,56.0,82.387,MEDIUM,32.0,4.0,24.095,31.77,26.522,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,57.0,82.195,MEDIUM,33.0,4.0,23.984,31.692,26.519,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,58.0,82.774,MEDIUM,34.0,4.0,24.002,32.274,26.498,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,59.0,82.824,MEDIUM,35.0,4.0,24.321,31.993,26.51,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,60.0,82.547,MEDIUM,36.0,4.0,24.098,31.955,26.494,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,61.0,82.154,MEDIUM,37.0,4.0,24.086,31.656,26.412,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,62.0,82.219,MEDIUM,38.0,4.0,24.053,31.721,26.445,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,63.0,82.319,MEDIUM,39.0,4.0,24.202,31.636,26.481,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,64.0,82.505,MEDIUM,40.0,4.0,24.164,31.785,26.556,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,65.0,82.014,MEDIUM,41.0,4.0,23.72,31.705,26.589,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
GAS,66.0,82.432,MEDIUM,42.0,4.0,24.019,31.677,26.736,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,7.0,87.113,MEDIUM,13.0,3.0,26.265,33.711,27.137,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,8.0,83.889,MEDIUM,14.0,3.0,24.635,32.342,26.912,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,9.0,83.873,MEDIUM,15.0,3.0,24.462,32.368,27.043,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,10.0,83.738,MEDIUM,16.0,3.0,24.574,32.279,26.885,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,11.0,83.736,MEDIUM,17.0,3.0,24.446,32.387,26.903,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,12.0,83.449,MEDIUM,18.0,3.0,24.21,32.302,26.937,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,13.0,83.347,MEDIUM,19.0,3.0,24.346,32.036,26.965,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,14.0,83.618,MEDIUM,20.0,3.0,24.354,32.193,27.071,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,15.0,84.019,MEDIUM,21.0,3.0,24.539,32.341,27.139,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,16.0,83.039,MEDIUM,22.0,3.0,24.317,31.844,26.878,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,17.0,82.998,MEDIUM,23.0,3.0,24.191,31.928,26.879,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,18.0,82.735,MEDIUM,24.0,3.0,24.204,31.692,26.839,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,19.0,82.957,MEDIUM,25.0,3.0,24.215,31.811,26.931,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,20.0,83.004,MEDIUM,26.0,3.0,24.17,31.807,27.027,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,21.0,83.478,MEDIUM,27.0,3.0,24.527,31.982,26.969,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,22.0,82.697,MEDIUM,28.0,3.0,24.262,31.657,26.778,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,23.0,82.821,MEDIUM,29.0,3.0,24.201,31.604,27.016,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,24.0,82.761,MEDIUM,30.0,3.0,24.22,31.681,26.86,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,25.0,82.981,MEDIUM,31.0,3.0,24.073,32.105,26.803,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
PER,26.0,82.486,MEDIUM,32.0,3.0,24.054,31.772,26.66,19.4,39.0,39.4,False,2021,Portuguese Grand Prix,3
