Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
GAS,2.0,90.457,SOFT,5.0,1.0,29.906,30.181,30.37,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,3.0,90.886,SOFT,6.0,1.0,29.916,30.098,30.872,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,4.0,91.26,SOFT,7.0,1.0,30.788,30.19,30.282,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,5.0,91.079,SOFT,8.0,1.0,30.1,30.301,30.678,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,6.0,90.984,SOFT,9.0,1.0,30.024,30.319,30.641,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,7.0,91.223,SOFT,10.0,1.0,30.177,30.409,30.637,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,8.0,91.377,SOFT,11.0,1.0,30.134,30.54,30.703,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,9.0,90.961,SOFT,12.0,1.0,30.125,30.365,30.471,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,10.0,91.054,SOFT,13.0,1.0,30.169,30.359,30.526,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,11.0,90.715,SOFT,14.0,1.0,29.908,30.404,30.403,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,12.0,92.45,SOFT,15.0,1.0,31.073,30.608,30.769,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,14.0,95.301,MEDIUM,4.0,2.0,35.187,29.829,30.285,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,15.0,89.818,MEDIUM,5.0,2.0,29.558,30.112,30.148,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,16.0,89.127,MEDIUM,6.0,2.0,29.365,29.785,29.977,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,17.0,90.407,MEDIUM,7.0,2.0,29.615,30.251,30.541,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,18.0,90.276,MEDIUM,8.0,2.0,29.672,30.417,30.187,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,19.0,88.662,MEDIUM,9.0,2.0,29.045,29.658,29.959,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,20.0,88.781,MEDIUM,10.0,2.0,29.261,29.601,29.919,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,21.0,88.743,MEDIUM,11.0,2.0,29.176,29.652,29.915,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,22.0,88.624,MEDIUM,12.0,2.0,29.218,29.663,29.743,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,23.0,88.77,MEDIUM,13.0,2.0,29.187,29.678,29.905,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,24.0,89.087,MEDIUM,14.0,2.0,29.442,29.724,29.921,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,25.0,88.917,MEDIUM,15.0,2.0,29.26,29.781,29.876,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,26.0,89.012,MEDIUM,16.0,2.0,29.284,29.761,29.967,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,27.0,88.733,MEDIUM,17.0,2.0,29.206,29.757,29.77,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,28.0,88.475,MEDIUM,18.0,2.0,29.136,29.559,29.78,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,29.0,88.406,MEDIUM,19.0,2.0,29.011,29.661,29.734,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,30.0,88.685,MEDIUM,20.0,2.0,29.12,29.707,29.858,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,31.0,88.536,MEDIUM,21.0,2.0,29.206,29.666,29.664,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,32.0,88.74,MEDIUM,22.0,2.0,29.106,29.788,29.846,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,33.0,89.449,MEDIUM,23.0,2.0,29.31,29.97,30.169,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,34.0,89.235,MEDIUM,24.0,2.0,29.397,29.934,29.904,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,36.0,93.491,MEDIUM,6.0,3.0,34.518,29.395,29.578,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,37.0,87.045,MEDIUM,7.0,3.0,28.785,29.02,29.24,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,38.0,87.289,MEDIUM,8.0,3.0,28.976,29.173,29.14,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,39.0,87.625,MEDIUM,9.0,3.0,29.153,29.233,29.239,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,40.0,87.847,MEDIUM,10.0,3.0,28.98,29.362,29.505,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,41.0,87.553,MEDIUM,11.0,3.0,28.891,29.184,29.478,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,42.0,87.636,MEDIUM,12.0,3.0,28.991,29.153,29.492,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,43.0,87.507,MEDIUM,13.0,3.0,28.834,29.258,29.415,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,44.0,87.109,MEDIUM,14.0,3.0,28.705,29.081,29.323,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,45.0,87.148,MEDIUM,15.0,3.0,28.717,29.172,29.259,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,46.0,87.019,MEDIUM,16.0,3.0,28.746,29.083,29.19,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,47.0,87.121,MEDIUM,17.0,3.0,28.76,29.18,29.181,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,48.0,87.978,MEDIUM,18.0,3.0,28.682,29.116,30.18,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,49.0,88.244,MEDIUM,19.0,3.0,29.666,29.229,29.349,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,50.0,87.495,MEDIUM,20.0,3.0,28.989,29.333,29.173,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,51.0,88.742,MEDIUM,21.0,3.0,29.896,29.335,29.511,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,52.0,87.743,MEDIUM,22.0,3.0,28.891,29.264,29.588,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,53.0,88.7,MEDIUM,23.0,3.0,29.903,29.422,29.375,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
GAS,56.0,87.91,MEDIUM,26.0,3.0,29.569,29.068,29.273,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,2.0,91.896,MEDIUM,2.0,1.0,30.809,30.481,30.606,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,3.0,91.114,MEDIUM,3.0,1.0,29.961,30.537,30.616,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,4.0,91.099,MEDIUM,4.0,1.0,30.162,30.492,30.445,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,5.0,89.792,MEDIUM,5.0,1.0,29.756,29.809,30.227,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,6.0,89.917,MEDIUM,6.0,1.0,29.667,30.261,29.989,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,7.0,91.122,MEDIUM,7.0,1.0,30.475,30.444,30.203,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,8.0,90.318,MEDIUM,8.0,1.0,29.922,30.169,30.227,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,9.0,89.833,MEDIUM,9.0,1.0,29.515,30.227,30.091,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,10.0,91.107,MEDIUM,10.0,1.0,30.167,30.68,30.26,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,11.0,90.629,MEDIUM,11.0,1.0,30.198,30.346,30.085,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,12.0,91.14,MEDIUM,12.0,1.0,30.421,30.306,30.413,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,13.0,89.051,MEDIUM,13.0,1.0,29.535,29.614,29.902,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,14.0,89.268,MEDIUM,14.0,1.0,29.548,29.829,29.891,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,15.0,89.975,MEDIUM,15.0,1.0,30.043,29.964,29.968,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,16.0,88.667,MEDIUM,16.0,1.0,29.125,29.679,29.863,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,17.0,89.108,MEDIUM,17.0,1.0,29.586,29.748,29.774,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,18.0,88.963,MEDIUM,18.0,1.0,29.465,29.746,29.752,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,21.0,88.183,HARD,2.0,2.0,29.355,29.327,29.501,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,22.0,89.191,HARD,3.0,2.0,29.606,30.069,29.516,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,23.0,87.735,HARD,4.0,2.0,28.826,29.349,29.56,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,24.0,90.183,HARD,5.0,2.0,29.663,30.425,30.095,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,25.0,87.596,HARD,6.0,2.0,28.85,29.406,29.34,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,26.0,88.373,HARD,7.0,2.0,29.288,29.718,29.367,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,27.0,89.628,HARD,8.0,2.0,30.703,29.621,29.304,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,28.0,88.182,HARD,9.0,2.0,29.346,29.453,29.383,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,29.0,87.903,HARD,10.0,2.0,29.215,29.153,29.535,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
PER,30.0,87.98,HARD,11.0,2.0,29.197,29.36,29.423,26.4,30.6,75.5,True,2021,Qatar Grand Prix,20
