Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,Year,Event,Round
VER,4.0,93.807,MEDIUM,3.0,2.0,30.031,38.047,25.729,2022,British Grand Prix,10
VER,5.0,93.489,MEDIUM,4.0,2.0,29.805,38.045,25.639,2022,British Grand Prix,10
VER,6.0,93.539,MEDIUM,5.0,2.0,29.831,38.096,25.612,2022,British Grand Prix,10
VER,7.0,93.762,MEDIUM,6.0,2.0,29.889,38.15,25.723,2022,British Grand Prix,10
VER,8.0,93.451,MEDIUM,7.0,2.0,29.619,38.302,25.53,2022,British Grand Prix,10
VER,9.0,93.606,MEDIUM,8.0,2.0,29.714,38.352,25.54,2022,British Grand Prix,10
VER,10.0,93.486,MEDIUM,9.0,2.0,29.765,38.324,25.397,2022,British Grand Prix,10
VER,11.0,93.632,MEDIUM,10.0,2.0,29.987,38.014,25.631,2022,British Grand Prix,10
VER,12.0,94.701,MEDIUM,11.0,2.0,30.001,39.496,25.204,2022,British Grand Prix,10
VER,14.0,94.388,MEDIUM,2.0,3.0,29.895,38.656,25.837,2022,British Grand Prix,10
VER,15.0,94.806,MEDIUM,3.0,3.0,29.914,38.877,26.015,2022,British Grand Prix,10
VER,16.0,95.015,MEDIUM,4.0,3.0,30.031,38.939,26.045,2022,British Grand Prix,10
VER,17.0,94.994,MEDIUM,5.0,3.0,29.995,38.998,26.001,2022,British Grand Prix,10
VER,18.0,94.973,MEDIUM,6.0,3.0,30.067,38.923,25.983,2022,British Grand Prix,10
VER,19.0,94.996,MEDIUM,7.0,3.0,30.121,38.844,26.031,2022,British Grand Prix,10
VER,20.0,94.87,MEDIUM,8.0,3.0,30.206,38.838,25.826,2022,British Grand Prix,10
VER,21.0,94.963,MEDIUM,9.0,3.0,30.118,38.95,25.895,2022,British Grand Prix,10
VER,22.0,94.826,MEDIUM,10.0,3.0,30.003,38.918,25.905,2022,British Grand Prix,10
VER,23.0,94.122,MEDIUM,11.0,3.0,30.019,38.881,25.222,2022,British Grand Prix,10
VER,25.0,95.405,HARD,2.0,4.0,30.052,39.244,26.109,2022,British Grand Prix,10
