Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,3.0,88.191,SOFT,4.0,1.0,33.699,30.743,23.749,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,4.0,85.058,SOFT,5.0,1.0,30.148,31.114,23.796,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,5.0,84.121,SOFT,6.0,1.0,29.811,30.698,23.612,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,6.0,84.804,SOFT,7.0,1.0,29.825,31.013,23.966,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,7.0,84.079,SOFT,8.0,1.0,29.722,30.642,23.715,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,8.0,84.156,SOFT,9.0,1.0,29.928,30.448,23.78,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,9.0,84.097,SOFT,10.0,1.0,29.97,30.455,23.672,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,10.0,84.566,SOFT,11.0,1.0,30.008,30.715,23.843,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,11.0,85.356,SOFT,12.0,1.0,29.826,31.479,24.051,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,12.0,84.605,SOFT,13.0,1.0,29.842,31.033,23.73,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,13.0,84.529,SOFT,14.0,1.0,30.151,30.513,23.865,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,14.0,84.68,SOFT,15.0,1.0,30.068,30.601,24.011,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,15.0,84.647,SOFT,16.0,1.0,30.093,30.693,23.861,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,16.0,87.314,SOFT,17.0,1.0,30.047,31.112,26.155,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,18.0,83.082,MEDIUM,2.0,2.0,29.74,29.957,23.385,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,19.0,83.471,MEDIUM,3.0,2.0,29.787,30.251,23.433,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,20.0,83.954,MEDIUM,4.0,2.0,29.494,30.838,23.622,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,21.0,83.105,MEDIUM,5.0,2.0,29.504,30.151,23.45,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,22.0,83.184,MEDIUM,6.0,2.0,29.715,30.047,23.422,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,23.0,83.489,MEDIUM,7.0,2.0,29.703,30.369,23.417,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,24.0,83.775,MEDIUM,8.0,2.0,29.633,30.261,23.881,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,25.0,83.543,MEDIUM,9.0,2.0,29.761,30.142,23.64,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,26.0,83.72,MEDIUM,10.0,2.0,29.793,30.437,23.49,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,27.0,83.565,MEDIUM,11.0,2.0,29.82,30.2,23.545,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,28.0,83.691,MEDIUM,12.0,2.0,29.822,30.271,23.598,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,29.0,84.173,MEDIUM,13.0,2.0,30.207,30.343,23.623,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,30.0,83.84,MEDIUM,14.0,2.0,29.958,30.191,23.691,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,31.0,83.728,MEDIUM,15.0,2.0,29.798,30.373,23.557,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,32.0,84.331,MEDIUM,16.0,2.0,29.823,30.762,23.746,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
VER,33.0,83.709,MEDIUM,17.0,2.0,29.827,30.276,23.606,18.6,26.7,69.3,True,2022,Hungarian Grand Prix,13
