Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,2.0,94.542,MEDIUM,2.0,1.0,32.267,35.97,26.305,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,3.0,94.55,MEDIUM,3.0,1.0,32.182,36.062,26.306,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,4.0,94.287,MEDIUM,4.0,1.0,32.092,35.968,26.227,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,5.0,94.32,MEDIUM,5.0,1.0,32.028,35.942,26.35,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,6.0,94.227,MEDIUM,6.0,1.0,31.891,35.971,26.365,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,7.0,94.267,MEDIUM,7.0,1.0,31.876,36.069,26.322,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,8.0,94.318,MEDIUM,8.0,1.0,32.111,36.063,26.144,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,9.0,95.415,MEDIUM,9.0,1.0,32.514,36.33,26.571,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,10.0,94.107,MEDIUM,10.0,1.0,31.667,36.026,26.414,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,11.0,94.466,MEDIUM,11.0,1.0,31.919,36.111,26.436,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,12.0,93.991,MEDIUM,12.0,1.0,31.74,35.975,26.276,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,13.0,94.09,MEDIUM,13.0,1.0,31.793,35.945,26.352,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,14.0,93.866,MEDIUM,14.0,1.0,31.809,35.835,26.222,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,15.0,93.51,MEDIUM,15.0,1.0,31.594,35.765,26.151,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,16.0,94.225,MEDIUM,16.0,1.0,31.713,35.759,26.753,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,17.0,93.742,MEDIUM,17.0,1.0,31.703,35.83,26.209,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,18.0,93.946,MEDIUM,18.0,1.0,31.655,36.039,26.252,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,19.0,93.684,MEDIUM,19.0,1.0,31.623,35.823,26.238,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,20.0,93.249,MEDIUM,20.0,1.0,31.425,35.731,26.093,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,21.0,93.347,MEDIUM,21.0,1.0,31.443,35.887,26.017,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,22.0,93.193,MEDIUM,22.0,1.0,31.469,35.693,26.031,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,23.0,93.275,MEDIUM,23.0,1.0,31.427,35.73,26.118,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,24.0,93.487,MEDIUM,24.0,1.0,31.538,35.825,26.124,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,25.0,93.286,MEDIUM,25.0,1.0,31.535,35.703,26.048,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,26.0,98.505,MEDIUM,26.0,1.0,31.47,35.701,31.334,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,28.0,93.135,HARD,2.0,2.0,31.262,35.672,26.201,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,29.0,92.779,HARD,3.0,2.0,31.074,35.642,26.063,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,30.0,93.216,HARD,4.0,2.0,31.174,35.853,26.189,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,31.0,93.033,HARD,5.0,2.0,31.329,35.68,26.024,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,32.0,92.742,HARD,6.0,2.0,31.026,35.667,26.049,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,33.0,92.813,HARD,7.0,2.0,31.143,35.702,25.968,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,34.0,92.714,HARD,8.0,2.0,31.053,35.629,26.032,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,35.0,92.696,HARD,9.0,2.0,31.113,35.554,26.029,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,36.0,92.596,HARD,10.0,2.0,31.085,35.572,25.939,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,37.0,92.325,HARD,11.0,2.0,30.96,35.393,25.972,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,38.0,92.417,HARD,12.0,2.0,31.06,35.502,25.855,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,39.0,92.415,HARD,13.0,2.0,31.054,35.604,25.757,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,40.0,92.444,HARD,14.0,2.0,31.019,35.569,25.856,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,47.0,93.959,HARD,21.0,2.0,31.768,35.867,26.324,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,48.0,92.397,HARD,22.0,2.0,30.87,35.412,26.115,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,49.0,92.292,HARD,23.0,2.0,30.552,35.66,26.08,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,50.0,91.878,HARD,24.0,2.0,30.507,35.47,25.901,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,51.0,92.05,HARD,25.0,2.0,30.714,35.477,25.859,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,52.0,92.037,HARD,26.0,2.0,30.509,35.689,25.839,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,53.0,91.456,HARD,27.0,2.0,30.364,35.242,25.85,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,54.0,91.361,HARD,28.0,2.0,30.37,35.138,25.853,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,55.0,91.75,HARD,29.0,2.0,30.572,35.299,25.879,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,56.0,91.74,HARD,30.0,2.0,30.504,35.334,25.902,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
VER,57.0,91.458,HARD,31.0,2.0,30.446,35.156,25.856,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
GAS,2.0,96.07,MEDIUM,2.0,1.0,32.822,36.543,26.705,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
GAS,3.0,95.683,MEDIUM,3.0,1.0,32.669,36.486,26.528,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
GAS,4.0,95.591,MEDIUM,4.0,1.0,32.742,36.344,26.505,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
GAS,5.0,96.268,MEDIUM,5.0,1.0,32.684,36.955,26.629,30.6,42.8,58.9,True,2022,Miami Grand Prix,5
