Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,2.0,78.075,MEDIUM,2.0,1.0,21.686,25.051,31.338,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,3.0,77.767,MEDIUM,3.0,1.0,21.626,24.909,31.232,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,4.0,77.203,MEDIUM,4.0,1.0,21.438,24.716,31.049,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,5.0,77.371,MEDIUM,5.0,1.0,21.493,24.718,31.16,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,6.0,77.607,MEDIUM,6.0,1.0,21.609,24.763,31.235,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,7.0,77.565,MEDIUM,7.0,1.0,21.6,24.77,31.195,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,9.0,77.495,MEDIUM,9.0,1.0,21.715,24.787,30.993,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,10.0,77.359,MEDIUM,10.0,1.0,21.577,24.746,31.036,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,11.0,77.268,MEDIUM,11.0,1.0,21.555,24.68,31.033,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,17.0,77.145,HARD,5.0,2.0,21.405,24.615,31.125,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,18.0,76.682,HARD,6.0,2.0,21.274,24.503,30.905,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,19.0,76.63,HARD,7.0,2.0,21.238,24.441,30.951,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,20.0,76.607,HARD,8.0,2.0,21.224,24.519,30.864,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,21.0,76.652,HARD,9.0,2.0,21.244,24.464,30.944,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,22.0,76.697,HARD,10.0,2.0,21.246,24.538,30.913,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,23.0,76.946,HARD,11.0,2.0,21.256,24.432,31.258,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,24.0,76.641,HARD,12.0,2.0,21.272,24.504,30.865,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,25.0,76.643,HARD,13.0,2.0,21.254,24.457,30.932,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,26.0,76.785,HARD,14.0,2.0,21.341,24.509,30.935,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,27.0,76.928,HARD,15.0,2.0,21.3,24.656,30.972,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,28.0,77.004,HARD,16.0,2.0,21.266,24.706,31.032,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,29.0,76.807,HARD,17.0,2.0,21.34,24.598,30.869,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
VER,30.0,77.016,HARD,18.0,2.0,21.355,24.658,31.003,18.5,30.6,63.9,False,2023,Canadian Grand Prix,8
