Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,3.0,109.988,MEDIUM,3.0,1.0,29.413,33.294,47.281,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,7.0,100.785,MEDIUM,7.0,1.0,29.256,33.44,38.089,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,8.0,100.142,MEDIUM,8.0,1.0,29.033,33.306,37.803,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,9.0,99.669,MEDIUM,9.0,1.0,28.653,33.163,37.853,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,10.0,99.484,MEDIUM,10.0,1.0,28.549,33.175,37.76,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,11.0,98.763,MEDIUM,11.0,1.0,28.393,32.747,37.623,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,12.0,98.773,MEDIUM,12.0,1.0,28.375,32.794,37.604,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,13.0,98.759,MEDIUM,13.0,1.0,28.319,32.875,37.565,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,14.0,98.942,MEDIUM,14.0,1.0,28.376,32.926,37.64,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,15.0,99.477,MEDIUM,15.0,1.0,28.525,33.315,37.637,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,16.0,104.727,MEDIUM,16.0,1.0,28.87,33.442,42.415,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,18.0,98.348,HARD,2.0,2.0,28.642,32.568,37.138,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,19.0,98.335,HARD,3.0,2.0,28.252,32.76,37.323,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,20.0,99.611,HARD,4.0,2.0,29.303,33.196,37.112,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,21.0,97.88,HARD,5.0,2.0,28.124,32.695,37.061,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,22.0,98.605,HARD,6.0,2.0,28.321,33.275,37.009,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,23.0,97.988,HARD,7.0,2.0,28.265,32.91,36.813,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,24.0,98.482,HARD,8.0,2.0,28.259,33.422,36.801,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,25.0,98.943,HARD,9.0,2.0,28.343,33.334,37.266,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,26.0,113.326,HARD,10.0,2.0,28.098,32.402,52.826,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,29.0,100.938,HARD,3.0,3.0,29.952,33.716,37.27,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,30.0,98.469,HARD,4.0,3.0,28.556,32.814,37.099,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,31.0,97.748,HARD,5.0,3.0,28.515,32.897,36.336,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,32.0,96.603,HARD,6.0,3.0,27.789,32.032,36.782,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,33.0,96.596,HARD,7.0,3.0,27.595,32.505,36.496,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,34.0,96.359,HARD,8.0,3.0,27.603,31.967,36.789,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,35.0,96.239,HARD,9.0,3.0,27.448,32.016,36.775,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,36.0,96.276,HARD,10.0,3.0,27.628,32.277,36.371,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,37.0,96.66,HARD,11.0,3.0,27.488,32.259,36.913,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,38.0,96.1,HARD,12.0,3.0,27.371,31.78,36.949,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,39.0,95.938,HARD,13.0,3.0,27.395,31.711,36.832,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,40.0,95.997,HARD,14.0,3.0,27.335,31.748,36.914,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,41.0,95.92,HARD,15.0,3.0,27.312,31.803,36.805,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,42.0,96.212,HARD,16.0,3.0,27.426,31.936,36.85,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,43.0,95.983,HARD,17.0,3.0,27.295,31.865,36.823,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,44.0,95.614,HARD,18.0,3.0,27.135,31.801,36.678,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,45.0,95.867,HARD,19.0,3.0,27.315,31.8,36.752,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,46.0,95.896,HARD,20.0,3.0,27.267,31.877,36.752,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,47.0,95.879,HARD,21.0,3.0,27.318,31.842,36.719,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,48.0,96.497,HARD,22.0,3.0,27.337,31.893,37.267,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
VER,49.0,96.95,HARD,23.0,3.0,27.244,32.031,37.675,18.0,18.0,47.4,False,2023,Las Vegas Grand Prix,21
