Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,2.0,83.859,MEDIUM,2.0,1.0,29.75,32.647,21.462,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,3.0,83.573,MEDIUM,3.0,1.0,29.517,32.562,21.494,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,4.0,83.708,MEDIUM,4.0,1.0,29.481,32.702,21.525,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,6.0,83.339,MEDIUM,6.0,1.0,29.47,32.504,21.365,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,7.0,83.453,MEDIUM,7.0,1.0,29.454,32.574,21.425,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,8.0,83.357,MEDIUM,8.0,1.0,29.381,32.474,21.502,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,9.0,83.218,MEDIUM,9.0,1.0,29.26,32.328,21.63,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,10.0,83.276,MEDIUM,10.0,1.0,29.329,32.415,21.532,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,11.0,83.626,MEDIUM,11.0,1.0,29.57,32.439,21.617,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,12.0,83.644,MEDIUM,12.0,1.0,29.507,32.478,21.659,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,13.0,83.792,MEDIUM,13.0,1.0,29.563,32.587,21.642,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,14.0,83.695,MEDIUM,14.0,1.0,29.488,32.526,21.681,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,15.0,83.714,MEDIUM,15.0,1.0,29.531,32.462,21.721,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,16.0,83.585,MEDIUM,16.0,1.0,29.459,32.474,21.652,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,17.0,83.644,MEDIUM,17.0,1.0,29.509,32.498,21.637,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,18.0,83.927,MEDIUM,18.0,1.0,29.527,32.511,21.889,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,19.0,86.825,MEDIUM,19.0,1.0,29.615,32.447,24.763,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,21.0,82.643,HARD,2.0,2.0,29.183,32.173,21.287,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,22.0,82.622,HARD,3.0,2.0,28.747,32.305,21.57,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,23.0,82.781,HARD,4.0,2.0,28.718,32.461,21.602,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,24.0,83.762,HARD,5.0,2.0,29.269,32.616,21.877,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
VER,25.0,82.354,HARD,6.0,2.0,28.443,32.395,21.516,25.5,45.6,23.6,False,2023,Mexico City Grand Prix,19
