Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time
VER,2.0,86.163,MEDIUM,2.0,1.0,28.274,29.543,28.346
VER,3.0,85.702,MEDIUM,3.0,1.0,28.097,29.32,28.285
VER,4.0,86.05,MEDIUM,4.0,1.0,28.145,29.474,28.431
VER,5.0,86.176,MEDIUM,5.0,1.0,28.155,29.514,28.507
VER,6.0,86.837,MEDIUM,6.0,1.0,28.7,29.662,28.475
VER,7.0,86.368,MEDIUM,7.0,1.0,28.166,29.751,28.451
VER,8.0,85.99,MEDIUM,8.0,1.0,28.075,29.432,28.483
VER,9.0,86.605,MEDIUM,9.0,1.0,28.149,29.927,28.529
VER,10.0,86.603,MEDIUM,10.0,1.0,28.315,29.78,28.508
VER,11.0,86.643,MEDIUM,11.0,1.0,28.233,29.893,28.517
VER,12.0,86.442,MEDIUM,12.0,1.0,28.179,29.813,28.45
VER,13.0,86.666,MEDIUM,13.0,1.0,28.254,29.907,28.505
VER,14.0,87.028,MEDIUM,14.0,1.0,28.223,30.28,28.525
VER,15.0,86.782,MEDIUM,15.0,1.0,28.137,30.444,28.201
VER,16.0,86.718,MEDIUM,16.0,1.0,28.45,29.91,28.358
VER,17.0,86.733,MEDIUM,17.0,1.0,28.348,29.889,28.496
VER,18.0,86.273,MEDIUM,18.0,1.0,28.247,29.668,28.358
VER,19.0,86.438,MEDIUM,19.0,1.0,28.368,29.832,28.238
VER,20.0,90.849,MEDIUM,20.0,1.0,28.384,29.907,32.558
VER,22.0,85.885,HARD,2.0,2.0,28.01,29.546,28.329
VER,23.0,86.159,HARD,3.0,2.0,28.131,29.638,28.39
VER,24.0,86.327,HARD,4.0,2.0,28.187,29.358,28.782
VER,25.0,85.914,HARD,5.0,2.0,28.052,29.542,28.32
VER,26.0,85.786,HARD,6.0,2.0,28.257,29.382,28.147
VER,27.0,85.501,HARD,7.0,2.0,28.117,29.266,28.118
VER,28.0,85.434,HARD,8.0,2.0,28.158,29.202,28.074
VER,29.0,85.471,HARD,9.0,2.0,28.149,29.369,27.953
VER,30.0,85.398,HARD,10.0,2.0,28.15,29.213,28.035
VER,31.0,85.502,HARD,11.0,2.0,28.161,29.37,27.971
VER,32.0,85.41,HARD,12.0,2.0,28.151,29.284,27.975
VER,33.0,85.24,HARD,13.0,2.0,28.057,29.201,27.982
VER,34.0,85.683,HARD,14.0,2.0,28.111,29.501,28.071
VER,35.0,85.815,HARD,15.0,2.0,28.179,29.472,28.164
VER,36.0,85.598,HARD,16.0,2.0,28.04,29.439,28.119
VER,37.0,85.683,HARD,17.0,2.0,28.074,29.485,28.124
VER,38.0,85.585,HARD,18.0,2.0,28.067,29.469,28.049
VER,39.0,85.486,HARD,19.0,2.0,28.053,29.353,28.08
VER,40.0,85.901,HARD,20.0,2.0,28.185,29.481,28.235
VER,41.0,85.779,HARD,21.0,2.0,28.079,29.543,28.157
VER,42.0,85.912,HARD,22.0,2.0,28.057,29.562,28.293
VER,43.0,85.994,HARD,23.0,2.0,28.178,29.666,28.15
VER,44.0,85.751,HARD,24.0,2.0,28.03,29.503,28.218
VER,45.0,85.916,HARD,25.0,2.0,28.045,29.693,28.178
VER,46.0,86.185,HARD,26.0,2.0,28.067,29.921,28.197
VER,47.0,86.137,HARD,27.0,2.0,28.058,29.565,28.514
VER,48.0,87.235,HARD,28.0,2.0,28.459,30.06,28.716
VER,49.0,87.907,HARD,29.0,2.0,28.567,30.249,29.091
VER,50.0,88.393,HARD,30.0,2.0,28.738,30.474,29.181
VER,51.0,87.525,HARD,31.0,2.0,28.415,30.353,28.757
GAS,2.0,88.696,MEDIUM,2.0,1.0,28.782,30.575,29.339
GAS,3.0,87.916,MEDIUM,3.0,1.0,28.714,30.06,29.142
GAS,4.0,87.472,MEDIUM,4.0,1.0,28.432,30.029,29.011
GAS,5.0,87.694,MEDIUM,5.0,1.0,28.291,30.155,29.248
GAS,6.0,87.324,MEDIUM,6.0,1.0,28.241,30.047,29.036
GAS,7.0,87.21,MEDIUM,7.0,1.0,28.18,29.932,29.098
GAS,8.0,87.24,MEDIUM,8.0,1.0,28.0,30.157,29.083
GAS,9.0,87.366,MEDIUM,9.0,1.0,28.124,29.976,29.266
GAS,10.0,92.034,MEDIUM,10.0,1.0,28.126,30.178,33.73
GAS,12.0,87.431,HARD,5.0,2.0,28.524,29.851,29.056
GAS,13.0,87.368,HARD,6.0,2.0,28.44,29.892,29.036
GAS,14.0,87.348,HARD,7.0,2.0,28.394,30.051,28.903
GAS,15.0,87.363,HARD,8.0,2.0,28.462,30.093,28.808
GAS,16.0,87.088,HARD,9.0,2.0,28.289,30.067,28.732
GAS,17.0,87.076,HARD,10.0,2.0,28.286,29.953,28.837
GAS,18.0,87.053,HARD,11.0,2.0,28.315,30.045,28.693
GAS,19.0,87.136,HARD,12.0,2.0,28.422,30.088,28.626
GAS,20.0,87.035,HARD,13.0,2.0,28.17,30.107,28.758
GAS,21.0,87.706,HARD,14.0,2.0,28.31,30.354,29.042
GAS,22.0,87.219,HARD,15.0,2.0,28.315,30.023,28.881
GAS,23.0,87.454,HARD,16.0,2.0,28.367,30.178,28.909
GAS,24.0,87.06,HARD,17.0,2.0,28.144,30.16,28.756
GAS,25.0,87.223,HARD,18.0,2.0,28.176,30.119,28.928
GAS,26.0,87.59,HARD,19.0,2.0,28.496,30.15,28.944
GAS,27.0,87.189,HARD,20.0,2.0,28.305,30.124,28.76
GAS,28.0,87.521,HARD,21.0,2.0,28.314,30.209,28.998
GAS,29.0,87.383,HARD,22.0,2.0,28.372,30.15,28.861
