Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time
VER,2.0,80.402,MEDIUM,2.0,1.0,24.186,32.088,24.128
VER,3.0,80.499,MEDIUM,3.0,1.0,24.167,32.191,24.141
VER,4.0,80.346,MEDIUM,4.0,1.0,24.022,32.159,24.165
VER,5.0,80.283,MEDIUM,5.0,1.0,24.034,32.213,24.036
VER,6.0,80.402,MEDIUM,6.0,1.0,24.009,32.178,24.215
VER,7.0,80.476,MEDIUM,7.0,1.0,24.092,32.224,24.16
VER,8.0,79.894,MEDIUM,8.0,1.0,23.827,31.98,24.087
VER,9.0,80.282,MEDIUM,9.0,1.0,23.888,32.18,24.214
VER,10.0,80.334,MEDIUM,10.0,1.0,23.937,32.197,24.2
VER,11.0,80.52,MEDIUM,11.0,1.0,24.003,32.32,24.197
VER,12.0,80.442,MEDIUM,12.0,1.0,23.952,32.215,24.275
VER,13.0,80.178,MEDIUM,13.0,1.0,23.794,32.193,24.191
VER,14.0,80.378,MEDIUM,14.0,1.0,24.004,32.222,24.152
VER,15.0,80.282,MEDIUM,15.0,1.0,23.94,32.176,24.166
VER,16.0,80.186,MEDIUM,16.0,1.0,23.889,32.116,24.181
VER,17.0,80.344,MEDIUM,17.0,1.0,23.948,32.182,24.214
VER,18.0,80.258,MEDIUM,18.0,1.0,23.839,32.188,24.231
VER,19.0,80.068,MEDIUM,19.0,1.0,23.835,32.145,24.088
VER,20.0,79.988,MEDIUM,20.0,1.0,23.762,32.13,24.096
VER,21.0,80.087,MEDIUM,21.0,1.0,23.772,32.151,24.164
VER,22.0,79.869,MEDIUM,22.0,1.0,23.758,32.035,24.076
VER,23.0,80.098,MEDIUM,23.0,1.0,23.821,32.068,24.209
VER,24.0,79.946,MEDIUM,24.0,1.0,23.67,32.188,24.088
VER,25.0,79.973,MEDIUM,25.0,1.0,23.738,32.151,24.084
VER,26.0,83.843,MEDIUM,26.0,1.0,23.774,32.091,27.978
VER,28.0,78.707,HARD,2.0,2.0,23.713,31.496,23.498
VER,29.0,78.86,HARD,3.0,2.0,23.579,31.646,23.635
VER,30.0,78.976,HARD,4.0,2.0,23.717,31.619,23.64
VER,31.0,79.165,HARD,5.0,2.0,23.806,31.687,23.672
VER,32.0,78.878,HARD,6.0,2.0,23.52,31.691,23.667
VER,33.0,79.189,HARD,7.0,2.0,23.678,31.746,23.765
VER,34.0,78.806,HARD,8.0,2.0,23.501,31.599,23.706
VER,35.0,78.89,HARD,9.0,2.0,23.533,31.641,23.716
VER,36.0,78.789,HARD,10.0,2.0,23.49,31.479,23.82
VER,37.0,79.026,HARD,11.0,2.0,23.422,31.723,23.881
VER,38.0,79.417,HARD,12.0,2.0,23.483,31.855,24.079
VER,39.0,79.322,HARD,13.0,2.0,23.636,31.688,23.998
VER,40.0,79.388,HARD,14.0,2.0,23.53,31.967,23.891
VER,41.0,79.53,HARD,15.0,2.0,23.603,32.057,23.87
VER,42.0,79.092,HARD,16.0,2.0,23.452,31.802,23.838
VER,43.0,78.912,HARD,17.0,2.0,23.399,31.699,23.814
VER,44.0,78.97,HARD,18.0,2.0,23.397,31.775,23.798
VER,45.0,79.104,HARD,19.0,2.0,23.437,31.771,23.896
VER,46.0,78.84,HARD,20.0,2.0,23.373,31.692,23.775
VER,47.0,79.109,HARD,21.0,2.0,23.468,31.738,23.903
VER,48.0,78.953,HARD,22.0,2.0,23.344,31.884,23.725
VER,49.0,79.093,HARD,23.0,2.0,23.434,31.793,23.866
VER,50.0,79.221,HARD,24.0,2.0,23.587,31.739,23.895
VER,51.0,78.768,HARD,25.0,2.0,23.256,31.693,23.819
VER,52.0,82.849,HARD,26.0,2.0,23.318,31.785,27.746
VER,54.0,77.473,SOFT,4.0,3.0,23.447,30.874,23.152
VER,55.0,77.766,SOFT,5.0,3.0,23.357,31.159,23.25
VER,56.0,77.183,SOFT,6.0,3.0,23.139,30.814,23.23
VER,57.0,77.306,SOFT,7.0,3.0,23.111,31.002,23.193
VER,58.0,77.502,SOFT,8.0,3.0,23.174,31.002,23.326
VER,59.0,77.761,SOFT,9.0,3.0,23.339,31.132,23.29
VER,60.0,78.205,SOFT,10.0,3.0,23.504,31.235,23.466
VER,61.0,76.33,SOFT,11.0,3.0,22.706,30.589,23.035
VER,62.0,78.014,SOFT,12.0,3.0,23.411,31.301,23.302
VER,63.0,77.697,SOFT,13.0,3.0,23.214,31.199,23.284
VER,64.0,78.559,SOFT,14.0,3.0,23.093,31.812,23.654
VER,65.0,77.611,SOFT,15.0,3.0,23.162,31.116,23.333
VER,66.0,77.708,SOFT,16.0,3.0,23.044,31.201,23.463
HAM,2.0,81.678,SOFT,5.0,1.0,24.411,32.621,24.646
HAM,3.0,80.839,SOFT,6.0,1.0,24.05,32.499,24.29
HAM,4.0,80.962,SOFT,7.0,1.0,24.207,32.538,24.217
HAM,5.0,80.755,SOFT,8.0,1.0,24.148,32.39,24.217
HAM,6.0,80.705,SOFT,9.0,1.0,24.086,32.368,24.251
HAM,7.0,80.488,SOFT,10.0,1.0,23.663,32.592,24.233
HAM,8.0,80.478,SOFT,11.0,1.0,23.773,32.504,24.201
HAM,9.0,80.812,SOFT,12.0,1.0,24.098,32.436,24.278
HAM,10.0,80.71,SOFT,13.0,1.0,24.093,32.302,24.315
HAM,11.0,80.646,SOFT,14.0,1.0,24.039,32.419,24.188
HAM,12.0,80.504,SOFT,15.0,1.0,23.969,32.233,24.302
HAM,13.0,80.552,SOFT,16.0,1.0,23.926,32.426,24.2
HAM,14.0,80.785,SOFT,17.0,1.0,23.942,32.461,24.382
HAM,15.0,80.865,SOFT,18.0,1.0,23.869,32.575,24.421
HAM,16.0,79.733,SOFT,19.0,1.0,23.446,32.157,24.13
HAM,17.0,80.253,SOFT,20.0,1.0,23.896,32.209,24.148
HAM,18.0,80.172,SOFT,21.0,1.0,23.927,32.153,24.092
HAM,19.0,80.324,SOFT,22.0,1.0,23.993,32.22,24.111
HAM,20.0,80.527,SOFT,23.0,1.0,23.946,32.388,24.193
HAM,21.0,80.681,SOFT,24.0,1.0,24.01,32.262,24.409
HAM,22.0,80.562,SOFT,25.0,1.0,23.97,32.328,24.264
HAM,23.0,80.786,SOFT,26.0,1.0,23.942,32.528,24.316
HAM,24.0,84.672,SOFT,27.0,1.0,24.046,32.498,28.128
HAM,26.0,79.629,MEDIUM,2.0,2.0,23.779,31.9,23.95
HAM,27.0,79.186,MEDIUM,3.0,2.0,23.752,31.819,23.615
HAM,28.0,79.161,MEDIUM,4.0,2.0,23.262,31.857,24.042
HAM,29.0,79.8,MEDIUM,5.0,2.0,23.871,32.074,23.855
HAM,30.0,79.292,MEDIUM,6.0,2.0,23.683,31.794,23.815
HAM,31.0,79.483,MEDIUM,7.0,2.0,23.854,31.845,23.784
HAM,32.0,79.215,MEDIUM,8.0,2.0,23.929,31.655,23.631
HAM,33.0,79.199,MEDIUM,9.0,2.0,23.769,31.757,23.673
HAM,34.0,79.028,MEDIUM,10.0,2.0,23.705,31.66,23.663
HAM,35.0,78.927,MEDIUM,11.0,2.0,23.475,31.699,23.753
HAM,36.0,79.127,MEDIUM,12.0,2.0,23.539,31.644,23.944
HAM,37.0,79.835,MEDIUM,13.0,2.0,23.939,31.801,24.095
HAM,38.0,79.732,MEDIUM,14.0,2.0,23.684,31.953,24.095
HAM,39.0,79.594,MEDIUM,15.0,2.0,23.751,31.975,23.868
HAM,40.0,79.468,MEDIUM,16.0,2.0,23.745,31.867,23.856
HAM,41.0,79.523,MEDIUM,17.0,2.0,23.643,31.85,24.03
HAM,42.0,79.187,MEDIUM,18.0,2.0,23.567,31.784,23.836
HAM,43.0,79.078,MEDIUM,19.0,2.0,23.478,31.719,23.881
HAM,44.0,79.121,MEDIUM,20.0,2.0,23.49,31.764,23.867
HAM,45.0,79.201,MEDIUM,21.0,2.0,23.519,31.719,23.963
HAM,46.0,78.965,MEDIUM,22.0,2.0,23.481,31.756,23.728
