Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,3.0,98.051,MEDIUM,3.0,1.0,23.196,41.997,32.858,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,4.0,89.504,MEDIUM,4.0,1.0,18.166,38.187,33.151,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,5.0,89.813,MEDIUM,5.0,1.0,18.056,37.945,33.812,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,6.0,89.412,MEDIUM,6.0,1.0,18.012,38.101,33.299,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,7.0,89.885,MEDIUM,7.0,1.0,18.085,38.58,33.22,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,8.0,89.824,MEDIUM,8.0,1.0,18.021,37.966,33.837,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,9.0,89.445,MEDIUM,9.0,1.0,18.085,38.121,33.239,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,10.0,90.449,MEDIUM,10.0,1.0,18.135,38.811,33.503,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,11.0,90.395,MEDIUM,11.0,1.0,18.08,38.538,33.777,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,12.0,90.164,MEDIUM,12.0,1.0,18.099,38.564,33.501,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,13.0,90.178,MEDIUM,13.0,1.0,18.103,38.737,33.338,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,14.0,90.128,MEDIUM,14.0,1.0,18.006,38.876,33.246,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,15.0,89.876,MEDIUM,15.0,1.0,18.019,38.636,33.221,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
VER,16.0,90.047,MEDIUM,16.0,1.0,18.052,38.838,33.157,26.8,31.8,51.4,False,2024,Abu Dhabi Grand Prix,24
