Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,2.0,109.632,MEDIUM,2.0,1.0,39.449,44.481,25.702,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,3.0,109.13,MEDIUM,3.0,1.0,39.118,44.415,25.597,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,4.0,109.608,MEDIUM,4.0,1.0,39.046,44.387,26.175,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,5.0,109.245,MEDIUM,5.0,1.0,39.312,44.211,25.722,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,6.0,108.795,MEDIUM,6.0,1.0,38.883,44.254,25.658,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,7.0,108.797,MEDIUM,7.0,1.0,38.936,44.131,25.73,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,8.0,108.643,MEDIUM,8.0,1.0,38.88,44.103,25.66,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,9.0,108.448,MEDIUM,9.0,1.0,38.68,44.085,25.683,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,10.0,109.448,MEDIUM,10.0,1.0,38.989,44.635,25.824,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,11.0,109.645,MEDIUM,11.0,1.0,39.235,44.447,25.963,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,12.0,114.511,MEDIUM,12.0,1.0,39.506,45.125,29.88,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,14.0,108.269,HARD,2.0,2.0,38.439,44.264,25.566,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,15.0,107.812,HARD,3.0,2.0,38.535,43.701,25.576,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,16.0,108.132,HARD,4.0,2.0,38.592,43.793,25.747,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,17.0,107.718,HARD,5.0,2.0,38.533,43.611,25.574,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,18.0,108.461,HARD,6.0,2.0,38.92,43.974,25.567,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,19.0,107.89,HARD,7.0,2.0,38.71,43.742,25.438,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,20.0,107.89,HARD,8.0,2.0,38.65,44.008,25.232,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,21.0,107.903,HARD,9.0,2.0,38.58,44.121,25.202,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,22.0,108.679,HARD,10.0,2.0,39.023,44.433,25.223,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,23.0,108.908,HARD,11.0,2.0,39.175,44.61,25.123,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,24.0,110.602,HARD,12.0,2.0,40.346,44.783,25.473,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,25.0,108.356,HARD,13.0,2.0,38.932,44.318,25.106,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,26.0,109.021,HARD,14.0,2.0,39.163,44.733,25.125,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,27.0,109.092,HARD,15.0,2.0,39.332,44.582,25.178,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,28.0,109.185,HARD,16.0,2.0,39.336,44.522,25.327,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,29.0,109.216,HARD,17.0,2.0,39.482,44.549,25.185,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,30.0,108.994,HARD,18.0,2.0,39.138,44.589,25.267,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,31.0,108.846,HARD,19.0,2.0,39.206,44.402,25.238,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,32.0,108.392,HARD,20.0,2.0,38.791,44.051,25.55,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,33.0,108.299,HARD,21.0,2.0,38.764,43.976,25.559,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,34.0,109.244,HARD,22.0,2.0,39.47,44.23,25.544,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,35.0,107.996,HARD,23.0,2.0,38.642,43.702,25.652,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,36.0,107.718,HARD,24.0,2.0,38.472,43.773,25.473,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,37.0,107.403,HARD,25.0,2.0,38.487,43.485,25.431,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,38.0,107.282,HARD,26.0,2.0,38.442,43.436,25.404,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,39.0,107.34,HARD,27.0,2.0,38.343,43.549,25.448,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,40.0,107.136,HARD,28.0,2.0,38.192,43.437,25.507,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,41.0,107.525,HARD,29.0,2.0,38.476,43.592,25.457,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,42.0,106.798,HARD,30.0,2.0,38.142,43.271,25.385,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,43.0,107.147,HARD,31.0,2.0,38.239,43.313,25.595,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,44.0,107.149,HARD,32.0,2.0,38.154,43.326,25.669,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,45.0,107.184,HARD,33.0,2.0,38.208,43.484,25.492,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,46.0,107.135,HARD,34.0,2.0,38.041,43.596,25.498,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,47.0,107.721,HARD,35.0,2.0,38.226,43.853,25.642,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,48.0,107.749,HARD,36.0,2.0,38.378,43.748,25.623,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
VER,49.0,112.022,HARD,37.0,2.0,38.91,43.752,29.36,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,2.0,112.861,HARD,2.0,1.0,42.078,45.563,25.22,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,3.0,111.565,HARD,3.0,1.0,40.547,45.762,25.256,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,4.0,109.849,HARD,4.0,1.0,39.792,44.566,25.491,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,5.0,110.116,HARD,5.0,1.0,39.781,44.805,25.53,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,6.0,110.071,HARD,6.0,1.0,39.798,44.674,25.599,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,7.0,109.908,HARD,7.0,1.0,39.621,44.6,25.687,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,8.0,109.707,HARD,8.0,1.0,39.608,44.464,25.635,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,9.0,109.776,HARD,9.0,1.0,39.443,44.763,25.57,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,10.0,109.479,HARD,10.0,1.0,39.323,44.553,25.603,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,11.0,110.305,HARD,11.0,1.0,39.684,44.951,25.67,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,12.0,110.207,HARD,12.0,1.0,39.574,44.756,25.877,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
GAS,13.0,110.586,HARD,13.0,1.0,40.3,44.86,25.426,26.7,44.3,38.0,False,2024,Azerbaijan Grand Prix,17
