Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
NOR,2.0,76.134,MEDIUM,2.0,1.0,26.061,27.155,22.918,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,3.0,76.496,MEDIUM,3.0,1.0,25.995,27.72,22.781,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,4.0,76.304,MEDIUM,4.0,1.0,25.836,27.683,22.785,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,5.0,76.271,MEDIUM,5.0,1.0,25.816,27.72,22.735,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,6.0,76.225,MEDIUM,6.0,1.0,25.711,27.752,22.762,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,7.0,76.395,MEDIUM,7.0,1.0,25.871,27.748,22.776,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,8.0,76.169,MEDIUM,8.0,1.0,25.599,27.831,22.739,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,9.0,76.477,MEDIUM,9.0,1.0,25.735,27.79,22.952,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,10.0,76.292,MEDIUM,10.0,1.0,25.695,27.846,22.751,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,11.0,76.303,MEDIUM,11.0,1.0,25.733,27.862,22.708,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,12.0,76.2,MEDIUM,12.0,1.0,25.704,27.781,22.715,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,13.0,76.242,MEDIUM,13.0,1.0,25.881,27.675,22.686,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,14.0,76.47,MEDIUM,14.0,1.0,25.717,27.99,22.763,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,15.0,76.227,MEDIUM,15.0,1.0,25.761,27.727,22.739,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,16.0,75.689,MEDIUM,16.0,1.0,25.6,27.593,22.496,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,17.0,76.085,MEDIUM,17.0,1.0,26.095,27.634,22.356,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,18.0,76.066,MEDIUM,18.0,1.0,25.695,27.64,22.731,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,19.0,75.899,MEDIUM,19.0,1.0,25.522,27.699,22.678,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,20.0,76.043,MEDIUM,20.0,1.0,25.647,27.795,22.601,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,21.0,75.729,MEDIUM,21.0,1.0,25.557,27.582,22.59,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,22.0,75.796,MEDIUM,22.0,1.0,25.536,27.55,22.71,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,23.0,75.784,MEDIUM,23.0,1.0,25.513,27.66,22.611,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,24.0,75.692,MEDIUM,24.0,1.0,25.568,27.551,22.573,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,25.0,75.709,MEDIUM,25.0,1.0,25.53,27.516,22.663,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,26.0,75.873,MEDIUM,26.0,1.0,25.544,27.623,22.706,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,27.0,75.744,MEDIUM,27.0,1.0,25.533,27.558,22.653,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,28.0,79.241,MEDIUM,28.0,1.0,25.572,27.572,26.097,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,30.0,74.571,HARD,2.0,2.0,25.3,27.055,22.216,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,31.0,74.391,HARD,3.0,2.0,25.109,27.052,22.23,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,32.0,74.476,HARD,4.0,2.0,25.183,26.976,22.317,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,33.0,74.489,HARD,5.0,2.0,25.107,27.127,22.255,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,34.0,74.491,HARD,6.0,2.0,25.264,26.997,22.23,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
NOR,35.0,74.474,HARD,7.0,2.0,25.149,27.15,22.175,19.0,30.8,61.0,False,2024,Dutch Grand Prix,15
