Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,2.0,80.596,MEDIUM,2.0,1.0,25.604,27.925,27.067,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,3.0,80.872,MEDIUM,3.0,1.0,25.743,28.104,27.025,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,4.0,80.671,MEDIUM,4.0,1.0,25.651,27.991,27.029,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,5.0,80.734,MEDIUM,5.0,1.0,25.602,28.041,27.091,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,6.0,80.868,MEDIUM,6.0,1.0,25.697,28.085,27.086,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,7.0,80.868,MEDIUM,7.0,1.0,25.734,28.186,26.948,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,8.0,80.762,MEDIUM,8.0,1.0,25.71,28.135,26.917,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,9.0,80.543,MEDIUM,9.0,1.0,25.629,27.978,26.936,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,10.0,81.093,MEDIUM,10.0,1.0,25.633,28.203,27.257,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,11.0,80.885,MEDIUM,11.0,1.0,25.704,28.03,27.151,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,12.0,81.287,MEDIUM,12.0,1.0,25.804,28.255,27.228,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,13.0,81.073,MEDIUM,13.0,1.0,25.696,28.234,27.143,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,14.0,80.982,MEDIUM,14.0,1.0,25.581,28.272,27.129,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,15.0,81.323,MEDIUM,15.0,1.0,25.748,28.272,27.303,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,16.0,81.362,MEDIUM,16.0,1.0,25.738,28.326,27.298,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,17.0,81.328,MEDIUM,17.0,1.0,25.732,28.315,27.281,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,18.0,81.411,MEDIUM,18.0,1.0,25.765,28.307,27.339,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,19.0,81.517,MEDIUM,19.0,1.0,25.826,28.376,27.315,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,20.0,81.55,MEDIUM,20.0,1.0,25.731,28.433,27.386,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,21.0,81.608,MEDIUM,21.0,1.0,25.888,28.323,27.397,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
VER,22.0,81.763,MEDIUM,22.0,1.0,25.802,28.448,27.513,25.1,42.0,48.4,False,2024,Emilia Romagna Grand Prix,7
