Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,2.0,94.205,MEDIUM,2.0,1.0,34.72,29.628,29.857,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,3.0,94.043,MEDIUM,3.0,1.0,34.53,29.621,29.892,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,4.0,93.754,MEDIUM,4.0,1.0,34.416,29.541,29.797,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,5.0,93.955,MEDIUM,5.0,1.0,34.457,29.59,29.908,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,6.0,93.676,MEDIUM,6.0,1.0,34.355,29.545,29.776,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,10.0,95.024,HARD,3.0,2.0,35.648,29.514,29.862,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,11.0,93.61,HARD,4.0,2.0,34.555,29.427,29.628,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,12.0,93.321,HARD,5.0,2.0,34.391,29.239,29.691,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,13.0,93.144,HARD,6.0,2.0,34.096,29.411,29.637,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,14.0,93.194,HARD,7.0,2.0,34.303,29.274,29.617,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,15.0,93.512,HARD,8.0,2.0,34.32,29.438,29.754,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,16.0,93.192,HARD,9.0,2.0,34.239,29.383,29.57,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,17.0,93.059,HARD,10.0,2.0,34.134,29.333,29.592,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,18.0,93.139,HARD,11.0,2.0,34.172,29.33,29.637,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,19.0,93.135,HARD,12.0,2.0,34.172,29.375,29.588,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,20.0,93.066,HARD,13.0,2.0,34.155,29.384,29.527,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,21.0,92.933,HARD,14.0,2.0,34.129,29.281,29.523,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,22.0,92.98,HARD,15.0,2.0,34.195,29.241,29.544,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,23.0,92.792,HARD,16.0,2.0,34.024,29.214,29.554,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,24.0,92.683,HARD,17.0,2.0,33.956,29.191,29.536,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,25.0,92.785,HARD,18.0,2.0,34.12,29.17,29.495,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,26.0,92.561,HARD,19.0,2.0,33.949,29.144,29.468,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,27.0,92.722,HARD,20.0,2.0,34.033,29.197,29.492,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,28.0,92.674,HARD,21.0,2.0,33.962,29.194,29.518,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,29.0,92.752,HARD,22.0,2.0,33.939,29.126,29.687,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,30.0,92.601,HARD,23.0,2.0,33.902,29.221,29.478,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,31.0,92.454,HARD,24.0,2.0,33.899,29.138,29.417,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,32.0,92.545,HARD,25.0,2.0,33.99,29.125,29.43,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,33.0,92.309,HARD,26.0,2.0,33.856,29.071,29.382,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,34.0,92.558,HARD,27.0,2.0,33.918,29.188,29.452,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
VER,35.0,92.536,HARD,28.0,2.0,34.0,29.147,29.389,25.5,31.6,62.3,False,2024,Saudi Arabian Grand Prix,2
