Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,air_temp_avg,track_temp_avg,humidity_avg,rainfall,Year,Event,Round
VER,2.0,79.871,SOFT,5.0,1.0,24.201,31.9,23.77,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,3.0,79.364,SOFT,6.0,1.0,23.249,32.086,24.029,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,4.0,80.766,SOFT,7.0,1.0,24.251,32.339,24.176,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,5.0,80.827,SOFT,8.0,1.0,24.165,32.393,24.269,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,6.0,80.876,SOFT,9.0,1.0,24.212,32.383,24.281,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,7.0,80.973,SOFT,10.0,1.0,24.231,32.481,24.261,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,8.0,80.989,SOFT,11.0,1.0,24.111,32.622,24.256,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,9.0,81.042,SOFT,12.0,1.0,24.174,32.54,24.328,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,10.0,81.003,SOFT,13.0,1.0,24.129,32.546,24.328,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,11.0,80.954,SOFT,14.0,1.0,24.127,32.52,24.307,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,12.0,81.376,SOFT,15.0,1.0,24.149,32.844,24.383,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,13.0,80.807,SOFT,16.0,1.0,24.043,32.594,24.17,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,14.0,80.989,SOFT,17.0,1.0,24.034,32.625,24.33,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,15.0,81.097,SOFT,18.0,1.0,23.972,32.786,24.339,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,16.0,81.223,SOFT,19.0,1.0,24.044,32.787,24.392,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
VER,17.0,84.876,SOFT,20.0,1.0,23.941,32.874,28.061,24.1,41.1,63.4,True,2024,Spanish Grand Prix,10
